Country,GoldMedals,GoldMedalsHalfWidth
USA,49,6.5
CHN,36,2.5
AUS,22,2.5
GBR,16,2.5
FRA,15,3
JPN,15,2
KOR,14,1.5
NED,14,2
ITA,12,1.5
GER,11,2.5
CAN,9,1.5
NZL,8,1.5
SWE,6,1
BEL,5,1.5
BRA,5,5.5
CRO,5,0.5
GRE,5,0.5
RSA,5,1.5
AUT,4,1
CUB,4,0.5
DEN,4,1.5
HUN,4,1.5
IND,4,0.5
SLO,4,1
SRB,4,1
TUR,4,1
ARG,3,1
COL,3,1.5
ESP,3,2
INA,3,1
KAZ,3,1.5
KEN,3,1
MGL,3,1
POL,3,2
POR,3,1
ROU,3,1
SUI,3,1.5
UKR,3,1.5
ALG,2,0.5
AZE,2,0.5
FIJ,2,0.5
FIN,2,0.5
GEO,2,0.5
HKG,2,0.5
IRL,2,1
ISR,2,1
JAM,2,1
MAS,2,1
MEX,2,2
NGR,2,0.5
PRK,2,0
PUR,2,0.5
SGP,2,0.5
THA,2,1
TPE,2,1
AIN,1,1.5
CYP,1,0.5
DOM,1,1
EGY,1,1
EOR,1,0.5
EST,1,0
ETH,1,0
GUA,1,0
IRI,1,0.5
KOS,1,0.5
KUW,1,0
LAT,1,1
LTU,1,0.5
MAR,1,0.5
MDA,1,0.5
PER,1,0.5
ROC,1,1
RUS,1,1.5
SCG,1,0.5
SMR,1,0.5
SVK,1,0.5
TJK,1,0.5
TUN,1,0.5
UAE,1,0.5
UZB,1,1
VIE,1,0.5
AFG,-0,0
AHO,-0,0
ALB,0,0
AND,-0,0
ANG,0,0
ANT,0,0
ANZ,-0,0
ARM,-0,0.5
ARU,0,0
ASA,-0,0
BAH,0,0
BAN,-0,0
BAR,-0,0
BDI,-0,0
BEN,0,0
BER,-0,0.5
BHU,-0,0
BIH,-0,0
BIZ,-0,0
BOH,-0,0
BOL,-0,0
BOT,0,0
BRN,0,0
BRU,-0,0
BUR,0,0
CAF,-0,0
CAM,-0,0
CAY,-0,0
CGO,-0,0
CHA,-0,0
CIV,0,0
CMR,-0,0
COD,-0,0
COK,-0,0
COM,-0,0
CPV,-0,0
CRC,0,0
CRT,-0,0
CZE,-0,1
DJI,-0,0
DMA,-0,0
ECU,0,1
ERI,0,0.5
ESA,-0,0
EUN,-0,0
FRG,-0,0
FSM,-0,0
GAB,0,0
GAM,-0,0
GBS,-0,0
GDR,-0,0
GEQ,-0,0
GHA,0,0
GRN,0,0
GUI,0,0
GUM,-0,0
GUY,-0,0
HAI,0,0
HON,-0,0
IOA,0,0
IRQ,-0,0
ISL,-0,0.5
ISV,-0,0
IVB,-0,0
JOR,0,0
KGZ,0,0
KIR,-0,0
KSA,0,0
LAO,-0,0
LBA,-0,0
LBN,-0,0
LBR,-0,0
LCA,0,0
LES,-0,0
LIB,-0,0
LIE,-0,0
LUX,0,0.5
MAD,-0,0
MAL,-0,0
MAW,-0,0
MDV,-0,0
MHL,-0,0
MKD,0,0
MLI,-0,0
MLT,-0,0
MNE,-0,0
MON,-0,0
MOZ,0,0
MRI,0,0
MTN,-0,0
MYA,-0,0
NBO,-0,0
NCA,-0,0
NEP,0,0
NFL,-0,0
NIG,0,0
NOR,-0,1
NRU,-0,0
OMA,-0,0
PAK,0,0
PAN,0,0
PAR,-0,0
PHI,-0,0.5
PLE,-0,0
PLW,-0,0
PNG,0,0
QAT,0,0.5
RHO,-0,0
ROT,-0,0
RWA,0,0
SAA,-0,0
SAM,0,0
SEN,-0,0.5
SEY,-0,0
SKN,-0,0
SLE,-0,0
SOL,-0,0
SOM,-0,0
SRI,0,0
SSD,-0,0
STP,-0,0
SUD,-0,0
SUR,-0,0
SWZ,-0,0
SYR,-0,0
TAN,-0,0
TCH,-0,0
TGA,-0,0
TKM,-0,0
TLS,-0,0
TOG,-0,0
TTO,0,0
TUV,-0,0
UAR,-0,0
UGA,0,0
UNK,-0,0
URS,-0,0
URU,0,0
VAN,-0,0
VEN,0,0.5
VIN,-0,0
VNM,-0,0
WIF,-0,0
YAR,-0,0
YEM,0,0
YMD,-0,0
YUG,-0,0
ZAM,0,0
ZIM,0,0
BUL,-1,0.5
CHI,-1,0.5
NAM,-1,0.5
BLR,-2,0.5
