Sports: Rowing Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: URS  Total: 6.65/k  Gold: 142.86/k  
Country: USA  Total: 4.74/k  Gold: 71.43/k  
Country: GDR  Total: 4.43/k  Gold: 339.29/k  
Country: ROU  Total: 2.60/k  Gold: 71.43/k  
Country: NED  Total: 2.37/k  Gold: 26.79/k  
Country: FRG  Total: 2.25/k  Gold: 53.57/k  
Country: TCH  Total: 1.78/k  Gold: 17.86/k  
Country: GBR  Total: 1.67/k  Gold: 17.86/k  
Country: GER  Total: 1.64/k  Gold: 71.43/k  
Country: BUL  Total: 1.59/k  Gold: 17.86/k  
Country: CAN  Total: 1.52/k  Gold: 26.79/k  
Country: ITA  Total: 1.33/k  Gold: 44.64/k  
Country: NZL  Total: 1.23/k  Gold: 44.64/k  
Country: SUI  Total: 1.21/k  Gold: 0.00/k  
Country: AUS  Total: 0.99/k  Gold: 0.00/k  
Country: NOR  Total: 0.94/k  Gold: 8.93/k  
Country: DEN  Total: 0.94/k  Gold: 17.86/k  
Country: YUG  Total: 0.77/k  Gold: 0.00/k  
Country: FRA  Total: 0.70/k  Gold: 0.00/k  
Country: POL  Total: 0.68/k  Gold: 0.00/k  
Country: ARG  Total: 0.54/k  Gold: 0.00/k  
Country: BEL  Total: 0.45/k  Gold: 0.00/k  
Country: HUN  Total: 0.37/k  Gold: 0.00/k  
Country: CHN  Total: 0.34/k  Gold: 0.00/k  
Country: AUT  Total: 0.32/k  Gold: 0.00/k  
Country: FIN  Total: 0.31/k  Gold: 26.79/k  
Country: ESP  Total: 0.27/k  Gold: 0.00/k  
Country: AIN  Total: 0.00/k  Gold: 0.00/k  
Country: ALG  Total: 0.00/k  Gold: 0.00/k  
Country: ANG  Total: 0.00/k  Gold: 0.00/k  
Country: ANZ  Total: 0.00/k  Gold: 0.00/k  
Country: AZE  Total: 0.00/k  Gold: 0.00/k  
Country: BAH  Total: 0.00/k  Gold: 0.00/k  
Country: BEN  Total: 0.00/k  Gold: 0.00/k  
Country: BER  Total: 0.00/k  Gold: 0.00/k  
Country: BLR  Total: 0.00/k  Gold: 0.00/k  
Country: BOH  Total: 0.00/k  Gold: 0.00/k  
Country: BRA  Total: 0.00/k  Gold: 0.00/k  
Country: CHI  Total: 0.00/k  Gold: 0.00/k  
Country: CIV  Total: 0.00/k  Gold: 0.00/k  
Country: CMR  Total: 0.00/k  Gold: 0.00/k  
Country: COL  Total: 0.00/k  Gold: 0.00/k  
Country: CRO  Total: 0.00/k  Gold: 0.00/k  
Country: CUB  Total: 0.00/k  Gold: 0.00/k  
