Sports: Cycling Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: AUS  Total: 2.60/k  Gold: 76.74/k  
Country: FRA  Total: 2.45/k  Gold: 100.20/k  
Country: USA  Total: 2.25/k  Gold: 76.39/k  
Country: GER  Total: 1.76/k  Gold: 93.65/k  
Country: URS  Total: 1.49/k  Gold: 118.06/k  
Country: GDR  Total: 1.32/k  Gold: 83.33/k  
Country: GBR  Total: 1.28/k  Gold: 88.89/k  
Country: NED  Total: 1.25/k  Gold: 57.54/k  
Country: FRG  Total: 1.18/k  Gold: 15.62/k  
Country: CAN  Total: 1.07/k  Gold: 6.94/k  
Country: SUI  Total: 1.04/k  Gold: 36.71/k  
Country: ESP  Total: 0.91/k  Gold: 42.26/k  
Country: RUS  Total: 0.83/k  Gold: 36.71/k  
Country: POL  Total: 0.58/k  Gold: 0.00/k  
Country: ITA  Total: 0.56/k  Gold: 97.17/k  
Country: DEN  Total: 0.55/k  Gold: 13.89/k  
Country: TCH  Total: 0.43/k  Gold: 0.00/k  
Country: BEL  Total: 0.43/k  Gold: 15.62/k  
Country: JPN  Total: 0.39/k  Gold: 0.00/k  
Country: SWE  Total: 0.30/k  Gold: 0.00/k  
Country: NZL  Total: 0.27/k  Gold: 6.94/k  
Country: UKR  Total: 0.26/k  Gold: 0.00/k  
Country: CHN  Total: 0.26/k  Gold: 0.00/k  
Country: MEX  Total: 0.24/k  Gold: 0.00/k  
Country: JAM  Total: 0.22/k  Gold: 0.00/k  
Country: NOR  Total: 0.14/k  Gold: 6.94/k  
Country: KAZ  Total: 0.12/k  Gold: 0.00/k  
Country: URU  Total: 0.12/k  Gold: 0.00/k  
Country: POR  Total: 0.11/k  Gold: 0.00/k  
Country: CUB  Total: 0.10/k  Gold: 0.00/k  
Country: LAT  Total: 0.10/k  Gold: 6.94/k  
Country: LTU  Total: 0.08/k  Gold: 0.00/k  
Country: BLR  Total: 0.07/k  Gold: 0.00/k  
Country: COL  Total: 0.07/k  Gold: 0.00/k  
Country: EST  Total: 0.02/k  Gold: 12.50/k  
Country: ARG  Total: 0.01/k  Gold: 6.94/k  
Country: ALB  Total: 0.00/k  Gold: 0.00/k  
Country: ALG  Total: 0.00/k  Gold: 0.00/k  
Country: AND  Total: 0.00/k  Gold: 0.00/k  
Country: ANT  Total: 0.00/k  Gold: 0.00/k  
Country: ARM  Total: 0.00/k  Gold: 0.00/k  
Country: ARU  Total: 0.00/k  Gold: 0.00/k  
Country: AUT  Total: 0.00/k  Gold: 0.00/k  
