Sports: Table Tennis Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: CHN  Total: 10.65/k  Gold: 875.00/k  
Country: KOR  Total: 3.70/k  Gold: 93.75/k  
Country: GER  Total: 1.75/k  Gold: 0.00/k  
Country: JPN  Total: 1.03/k  Gold: 0.00/k  
Country: PRK  Total: 0.91/k  Gold: 0.00/k  
Country: SGP  Total: 0.73/k  Gold: 0.00/k  
Country: SWE  Total: 0.68/k  Gold: 31.25/k  
Country: YUG  Total: 0.62/k  Gold: 0.00/k  
Country: FRA  Total: 0.51/k  Gold: 0.00/k  
Country: TPE  Total: 0.50/k  Gold: 0.00/k  
Country: HKG  Total: 0.30/k  Gold: 0.00/k  
Country: DEN  Total: 0.20/k  Gold: 0.00/k  
Country: ALG  Total: 0.00/k  Gold: 0.00/k  
Country: ARG  Total: 0.00/k  Gold: 0.00/k  
Country: AUS  Total: 0.00/k  Gold: 0.00/k  
Country: AUT  Total: 0.00/k  Gold: 0.00/k  
Country: BEL  Total: 0.00/k  Gold: 0.00/k  
Country: BIH  Total: 0.00/k  Gold: 0.00/k  
Country: BLR  Total: 0.00/k  Gold: 0.00/k  
Country: BRA  Total: 0.00/k  Gold: 0.00/k  
Country: BUL  Total: 0.00/k  Gold: 0.00/k  
Country: CAN  Total: 0.00/k  Gold: 0.00/k  
Country: CGO  Total: 0.00/k  Gold: 0.00/k  
Country: CHI  Total: 0.00/k  Gold: 0.00/k  
Country: CMR  Total: 0.00/k  Gold: 0.00/k  
Country: COD  Total: 0.00/k  Gold: 0.00/k  
Country: COL  Total: 0.00/k  Gold: 0.00/k  
Country: CRO  Total: 0.00/k  Gold: 0.00/k  
Country: CUB  Total: 0.00/k  Gold: 0.00/k  
Country: CZE  Total: 0.00/k  Gold: 0.00/k  
Country: DJI  Total: 0.00/k  Gold: 0.00/k  
Country: DOM  Total: 0.00/k  Gold: 0.00/k  
Country: ECU  Total: 0.00/k  Gold: 0.00/k  
