Sports: Rowing Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: AUS  Total: 3.58/k  Gold: 89.29/k  
Country: GER  Total: 3.52/k  Gold: 125.00/k  
Country: GBR  Total: 3.12/k  Gold: 133.93/k  
Country: NED  Total: 2.72/k  Gold: 35.71/k  
Country: USA  Total: 2.60/k  Gold: 35.71/k  
Country: CAN  Total: 2.51/k  Gold: 62.50/k  
Country: ITA  Total: 2.10/k  Gold: 26.79/k  
Country: ROU  Total: 1.75/k  Gold: 107.14/k  
Country: FRA  Total: 1.68/k  Gold: 44.64/k  
Country: NZL  Total: 1.26/k  Gold: 98.21/k  
Country: CHN  Total: 1.19/k  Gold: 17.86/k  
Country: DEN  Total: 1.17/k  Gold: 35.71/k  
Country: NOR  Total: 1.02/k  Gold: 17.86/k  
Country: POL  Total: 0.94/k  Gold: 35.71/k  
Country: CRO  Total: 0.83/k  Gold: 17.86/k  
Country: BLR  Total: 0.72/k  Gold: 17.86/k  
Country: CZE  Total: 0.69/k  Gold: 8.93/k  
Country: SLO  Total: 0.58/k  Gold: 8.93/k  
Country: EST  Total: 0.48/k  Gold: 0.00/k  
Country: BUL  Total: 0.46/k  Gold: 8.93/k  
Country: GRE  Total: 0.45/k  Gold: 8.93/k  
Country: LTU  Total: 0.42/k  Gold: 0.00/k  
Country: ROC  Total: 0.36/k  Gold: 0.00/k  
Country: UKR  Total: 0.32/k  Gold: 8.93/k  
Country: RSA  Total: 0.32/k  Gold: 8.93/k  
Country: IRL  Total: 0.32/k  Gold: 8.93/k  
Country: AUT  Total: 0.31/k  Gold: 0.00/k  
Country: RUS  Total: 0.27/k  Gold: 8.93/k  
Country: SUI  Total: 0.25/k  Gold: 26.79/k  
Country: BEL  Total: 0.19/k  Gold: 0.00/k  
Country: TCH  Total: 0.19/k  Gold: 0.00/k  
Country: FIN  Total: 0.18/k  Gold: 0.00/k  
Country: EUN  Total: 0.13/k  Gold: 0.00/k  
Country: AIN  Total: 0.00/k  Gold: 0.00/k  
Country: ALG  Total: 0.00/k  Gold: 0.00/k  
Country: ANG  Total: 0.00/k  Gold: 0.00/k  
Country: ANZ  Total: 0.00/k  Gold: 0.00/k  
Country: ARG  Total: 0.00/k  Gold: 0.00/k  
Country: AZE  Total: 0.00/k  Gold: 0.00/k  
Country: BAH  Total: 0.00/k  Gold: 0.00/k  
Country: BEN  Total: 0.00/k  Gold: 0.00/k  
Country: BER  Total: 0.00/k  Gold: 0.00/k  
Country: BOH  Total: 0.00/k  Gold: 0.00/k  
Country: BRA  Total: 0.00/k  Gold: 0.00/k  
Country: CHI  Total: 0.00/k  Gold: 0.00/k  
Country: CIV  Total: 0.00/k  Gold: 0.00/k  
Country: CMR  Total: 0.00/k  Gold: 0.00/k  
Country: COL  Total: 0.00/k  Gold: 0.00/k  
Country: CUB  Total: 0.00/k  Gold: 0.00/k  
Country: DOM  Total: 0.00/k  Gold: 0.00/k  
Country: ECU  Total: 0.00/k  Gold: 0.00/k  
Country: EGY  Total: 0.00/k  Gold: 0.00/k  
Country: ESA  Total: 0.00/k  Gold: 0.00/k  
Country: ESP  Total: 0.00/k  Gold: 0.00/k  
Country: FRG  Total: 0.00/k  Gold: 0.00/k  
Country: GDR  Total: 0.00/k  Gold: 0.00/k  
Country: GUA  Total: 0.00/k  Gold: 0.00/k  
Country: HKG  Total: 0.00/k  Gold: 0.00/k  
Country: HON  Total: 0.00/k  Gold: 0.00/k  
Country: HUN  Total: 0.00/k  Gold: 0.00/k  
Country: INA  Total: 0.00/k  Gold: 0.00/k  
Country: IND  Total: 0.00/k  Gold: 0.00/k  
Country: IOA  Total: 0.00/k  Gold: 0.00/k  
Country: IRI  Total: 0.00/k  Gold: 0.00/k  
Country: IRQ  Total: 0.00/k  Gold: 0.00/k  
Country: JPN  Total: 0.00/k  Gold: 0.00/k  
Country: KAZ  Total: 0.00/k  Gold: 0.00/k  
Country: KEN  Total: 0.00/k  Gold: 0.00/k  
Country: KOR  Total: 0.00/k  Gold: 0.00/k  
Country: KSA  Total: 0.00/k  Gold: 0.00/k  
Country: KUW  Total: 0.00/k  Gold: 0.00/k  
Country: LAT  Total: 0.00/k  Gold: 0.00/k  
Country: LBA  Total: 0.00/k  Gold: 0.00/k  
Country: LIB  Total: 0.00/k  Gold: 0.00/k  
Country: MAR  Total: 0.00/k  Gold: 0.00/k  
Country: MEX  Total: 0.00/k  Gold: 0.00/k  
Country: MON  Total: 0.00/k  Gold: 0.00/k  
Country: MYA  Total: 0.00/k  Gold: 0.00/k  
Country: NAM  Total: 0.00/k  Gold: 0.00/k  
Country: NCA  Total: 0.00/k  Gold: 0.00/k  
Country: NGR  Total: 0.00/k  Gold: 0.00/k  
Country: NIG  Total: 0.00/k  Gold: 0.00/k  
Country: PAK  Total: 0.00/k  Gold: 0.00/k  
Country: PAR  Total: 0.00/k  Gold: 0.00/k  
Country: PER  Total: 0.00/k  Gold: 0.00/k  
Country: PHI  Total: 0.00/k  Gold: 0.00/k  
Country: POR  Total: 0.00/k  Gold: 0.00/k  
Country: PRK  Total: 0.00/k  Gold: 0.00/k  
Country: PUR  Total: 0.00/k  Gold: 0.00/k  
Country: QAT  Total: 0.00/k  Gold: 0.00/k  
Country: SAA  Total: 0.00/k  Gold: 0.00/k  
Country: SCG  Total: 0.00/k  Gold: 0.00/k  
Country: SGP  Total: 0.00/k  Gold: 0.00/k  
