CountryCode,Gold,Total
AFG,0,0
AHO,0,0
AIN,0,0
ALB,0,0
ALG,0,0
AND,0,0
ANG,0,0
ANT,0,0
ANZ,0,0
ARG,2,6
ARM,0,0
ARU,0,0
ASA,0,0
AUS,17,50
AUT,2,7
AZE,1,5
BAH,1,2
BAN,0,0
BAR,0,0
BDI,0,0
BEL,1,3
BEN,0,0
BER,0,0
BHU,0,0
BIH,0,0
BIZ,0,0
BLR,2,13
BOH,0,0
BOL,0,0
BOT,0,0
BRA,5,10
BRN,0,0
BRU,0,0
BUL,2,12
BUR,0,0
CAF,0,0
CAM,0,0
CAN,3,12
CAY,0,0
CGO,0,0
CHA,0,0
CHI,2,3
CHN,32,63
CIV,0,0
CMR,1,1
COD,0,0
COK,0,0
COL,0,2
COM,0,0
CPV,0,0
CRC,0,0
CRO,1,5
CRT,0,0
CUB,9,27
CYP,0,0
CZE,1,9
DEN,2,8
DJI,0,0
DMA,0,0
DOM,1,1
ECU,0,0
EGY,1,5
EOR,0,0
ERI,0,1
ESA,0,0
ESP,3,20
EST,0,3
ETH,2,7
EUN,0,0
FIJ,0,0
FIN,0,2
FRA,11,33
FRG,0,0
FSM,0,0
GAB,0,0
GAM,0,0
GBR,9,30
GBS,0,0
GDR,0,0
GEO,2,4
GEQ,0,0
GER,13,49
GHA,0,0
GRE,6,16
GRN,0,0
GUA,0,0
GUI,0,0
GUM,0,0
GUY,0,0
HAI,0,0
HKG,0,1
HON,0,0
HUN,8,17
INA,1,4
IND,0,1
IOA,0,0
IRI,2,6
IRL,0,0
IRQ,0,0
ISL,0,0
ISR,1,2
ISV,0,0
ITA,10,32
IVB,0,0
JAM,2,5
JOR,0,0
JPN,16,37
KAZ,1,8
KEN,1,7
KGZ,0,0
KIR,0,0
KOR,9,30
KOS,0,0
KSA,0,0
KUW,0,0
LAO,0,0
LAT,0,4
LBA,0,0
LBN,0,0
LBR,0,0
LCA,0,0
LES,0,0
LIB,0,0
LIE,0,0
LTU,1,3
LUX,0,0
MAD,0,0
MAL,0,0
MAR,2,3
MAS,0,0
MAW,0,0
MDA,0,0
MDV,0,0
MEX,0,4
MGL,0,1
MHL,0,0
MKD,0,0
MLI,0,0
MLT,0,0
MNE,0,0
MON,0,0
MOZ,0,0
MRI,0,0
MTN,0,0
MYA,0,0
NAM,0,0
NBO,0,0
NCA,0,0
NED,4,22
NEP,0,0
NFL,0,0
NGR,0,2
NIG,0,0
NOR,5,6
NRU,0,0
NZL,3,5
OMA,0,0
PAK,0,0
PAN,0,0
PAR,0,1
PER,0,0
PHI,0,0
PLE,0,0
PLW,0,0
PNG,0,0
POL,3,10
POR,0,3
PRK,0,5
PUR,0,0
QAT,0,0
RHO,0,0
ROC,28,90
ROT,0,0
ROU,8,19
RSA,1,6
RUS,28,90
RWA,0,0
SAA,0,0
SAM,0,0
SCG,0,2
SEN,0,0
SEY,0,0
SGP,0,0
SKN,0,0
SLE,0,0
SLO,0,4
SMR,0,0
SOL,0,0
SOM,0,0
SRB,0,0
SRI,0,0
SSD,0,0
STP,0,0
SUD,0,0
SUI,1,5
SUR,0,0
SVK,2,6
SWE,4,7
SWZ,0,0
SYR,0,1
TAN,0,0
TCH,0,0
TGA,0,0
THA,3,8
TJK,0,0
TKM,0,0
TLS,0,0
TOG,0,0
TPE,0,0
TTO,0,1
TUN,0,0
TUR,3,10
TUV,0,0
UAE,1,1
UAR,0,0
UGA,0,0
UKR,8,22
UNK,0,0
URS,0,0
URU,0,0
USA,36,101
UZB,2,5
VAN,0,0
VEN,0,2
VIE,0,0
VIN,0,0
VNM,0,0
WIF,0,0
YAR,0,0
YEM,0,0
YMD,0,0
YUG,0,0
ZAM,0,0
ZIM,1,3
