sport,country,str,count
Archery,KOR,1,12
Archery,CHN,0.90909090909091,11
Archery,USA,0.90909090909091,11
Archery,JPN,0.818181818181818,10
Archery,ITA,0.727272727272728,9
Archery,POL,0.727272727272728,9
Archery,FRA,0.636363636363638,8
Archery,GER,0.636363636363638,8
Archery,TPE,0.636363636363638,8
Archery,TUR,0.636363636363638,8
Archery,AUS,0.545454545454546,7
Archery,BHU,0.545454545454546,7
Archery,GBR,0.545454545454546,7
Archery,NED,0.545454545454546,7
Archery,SWE,0.545454545454546,7
Archery,EUN,0.454545454545456,6
Archery,INA,0.454545454545456,6
Archery,KAZ,0.454545454545456,6
Archery,MEX,0.454545454545456,6
Archery,RUS,0.454545454545456,6
Archery,UKR,0.454545454545456,6
Archery,CAN,0.363636363636363,5
Archery,RSA,0.363636363636363,5
Archery,ESP,0.272727272727273,4
Archery,FIN,0.272727272727273,4
Archery,IND,0.272727272727273,4
Archery,DEN,0.181818181818181,3
Archery,HUN,0.181818181818181,3
Archery,PRK,0.181818181818181,3
Archery,SLO,0.181818181818181,3
Archery,BLR,0.0909090909090911,2
Archery,BRA,0.0909090909090911,2
Archery,BUL,0.0909090909090911,2
Archery,IRL,0.0909090909090911,2
Archery,KEN,0.0909090909090911,2
Archery,MDA,0.0909090909090911,2
Archery,NOR,0.0909090909090911,2
Archery,NZL,0.0909090909090911,2
Archery,POR,0.0909090909090911,2
Archery,BEL,0,1
Archery,COL,0,1
Archery,CRC,0,1
Archery,CYP,0,1
Archery,EST,0,1
Archery,GEO,0,1
Archery,GUM,0,1
Archery,HKG,0,1
Archery,LUX,0,1
Archery,MGL,0,1
Archery,PUR,0,1
Archery,SMR,0,1
Archery,TCH,0,1
Athletics,USA,1,198
Athletics,GBR,0.69035532994924,137
Athletics,GER,0.639593908629443,127
Athletics,EUN,0.497461928934011,99
Athletics,ESP,0.461928934010152,92
Athletics,FRA,0.456852791878172,91
Athletics,RUS,0.426395939086294,85
Athletics,AUS,0.385786802030458,77
Athletics,CAN,0.360406091370559,72
Athletics,ITA,0.360406091370559,72
Athletics,KEN,0.355329949238579,71
Athletics,CHN,0.294416243654823,59
Athletics,CUB,0.294416243654823,59
Athletics,JPN,0.279187817258883,56
Athletics,BRA,0.253807106598985,51
Athletics,JAM,0.253807106598985,51
Athletics,POR,0.243654822335026,49
Athletics,FIN,0.213197969543148,43
Athletics,ROU,0.213197969543148,43
Athletics,UKR,0.213197969543148,43
Athletics,HUN,0.197969543147208,40
Athletics,NGR,0.192893401015229,39
Athletics,POL,0.192893401015229,39
Athletics,IRL,0.172588832487309,35
Athletics,RSA,0.172588832487309,35
Athletics,BLR,0.16751269035533,34
Athletics,BUL,0.16751269035533,34
Athletics,SUI,0.16751269035533,34
Athletics,GRE,0.152284263959391,31
Athletics,MEX,0.152284263959391,31
Athletics,SWE,0.152284263959391,31
Athletics,NZL,0.137055837563452,28
Athletics,MAR,0.131979695431472,27
Athletics,ETH,0.126903553299492,26
Athletics,THA,0.126903553299492,26
Athletics,AUT,0.111675126903553,23
Athletics,BAH,0.111675126903553,23
Athletics,CZE,0.111675126903553,23
Athletics,KOR,0.111675126903553,23
Athletics,NED,0.106598984771574,22
Athletics,GHA,0.0964467005076143,20
Athletics,LAT,0.0964467005076143,20
Athletics,LTU,0.0913705583756346,19
