CountryCode,Gold,Total
AFG,0,0
AHO,0,0
AIN,0,0
ALB,0,2
ALG,2,3
AND,0,0
ANG,0,0
ANT,0,0
ANZ,0,0
ARG,1,3
ARM,0,4
ARU,0,0
ASA,0,0
AUS,18,53
AUT,2,5
AZE,2,7
BAH,0,0
BAN,0,0
BAR,0,0
BDI,0,0
BEL,3,10
BEN,0,0
BER,0,0
BHU,0,0
BIH,0,0
BIZ,0,0
BLR,0,0
BOH,0,0
BOL,0,0
BOT,1,2
BRA,3,20
BRN,2,4
BRU,0,0
BUL,3,7
BUR,0,0
CAF,0,0
CAM,0,0
CAN,9,27
CAY,0,0
CGO,0,0
CHA,0,0
CHI,1,2
CHN,40,91
CIV,0,0
CMR,0,0
COD,0,0
COK,0,0
COL,0,4
COM,0,0
CPV,0,0
CRC,0,0
CRO,2,7
CRT,0,0
CUB,2,9
CYP,0,1
CZE,3,5
DEN,2,9
DJI,0,0
DMA,1,1
DOM,1,3
ECU,1,5
EGY,1,3
EOR,0,1
ERI,0,0
ESA,0,0
ESP,5,18
EST,0,0
ETH,1,4
EUN,0,0
FIJ,0,1
FIN,0,0
FRA,16,64
FRG,0,0
FSM,0,0
GAB,0,0
GAM,0,0
GBR,14,65
GBS,0,0
GDR,0,0
GEO,3,7
GEQ,0,0
GER,12,33
GHA,0,0
GRE,1,8
GRN,0,2
GUA,1,2
GUI,0,0
GUM,0,0
GUY,0,0
HAI,0,0
HKG,2,4
HON,0,0
HUN,6,19
INA,2,3
IND,0,6
IOA,0,0
IRI,3,12
IRL,4,7
IRQ,0,0
ISL,0,0
ISR,1,7
ISV,0,0
ITA,12,40
IVB,0,0
JAM,1,6
JOR,0,1
JPN,20,45
KAZ,1,7
KEN,4,11
KGZ,0,6
KIR,0,0
KOR,13,32
KOS,0,2
KSA,0,0
KUW,0,0
LAO,0,0
LAT,0,0
LBA,0,0
LBN,0,0
LBR,0,0
LCA,1,2
LES,0,0
LIB,0,0
LIE,0,0
LTU,0,4
LUX,0,0
MAD,0,0
MAL,0,0
MAR,1,2
MAS,0,2
MAW,0,0
MDA,0,4
MDV,0,0
MEX,0,5
MGL,0,1
MHL,0,0
MKD,0,0
MLI,0,0
MLT,0,0
MNE,0,0
MON,0,0
MOZ,0,0
MRI,0,0
MTN,0,0
MYA,0,0
NAM,0,0
NBO,0,0
NCA,0,0
NED,15,34
NEP,0,0
NFL,0,0
NGR,0,0
NIG,0,0
NOR,4,8
NRU,0,0
NZL,10,20
OMA,0,0
PAK,1,1
PAN,0,1
PAR,0,0
PER,0,1
PHI,2,4
PLE,0,0
PLW,0,0
PNG,0,0
POL,1,10
POR,1,4
PRK,0,6
PUR,0,2
QAT,0,1
RHO,0,0
ROC,0,0
ROT,0,0
ROU,3,9
RSA,1,6
RUS,0,0
RWA,0,0
SAA,0,0
SAM,0,0
SCG,0,0
SEN,0,0
SEY,0,0
SGP,0,1
SKN,0,0
SLE,0,0
SLO,2,3
SMR,0,0
SOL,0,0
SOM,0,0
SRB,3,5
SRI,0,0
SSD,0,0
STP,0,0
SUD,0,0
SUI,1,8
SUR,0,0
SVK,0,1
SWE,4,11
SWZ,0,0
SYR,0,0
TAN,0,0
TCH,0,0
TGA,0,0
THA,1,6
TJK,0,3
TKM,0,0
TLS,0,0
TOG,0,0
TPE,0,0
TTO,0,0
TUN,1,3
TUR,0,8
TUV,0,0
UAE,0,0
UAR,0,0
UGA,1,2
UKR,3,12
UNK,0,0
URS,0,0
URU,0,0
USA,40,126
UZB,8,13
VAN,0,0
VEN,0,0
VIE,0,0
VIN,0,0
VNM,0,0
WIF,0,0
YAR,0,0
YEM,0,0
YMD,0,0
YUG,0,0
ZAM,0,1
ZIM,0,0
