Country,total,gold,TlLower,TlUpper,GLower,GUpper
CHN,116,44,106,127,40,48
GBR,47,16,40,53,13,18
RUS,45,13,40,51,11,15
GER,42,13,35,49,10,15
USA,36,12,25,48,8,16
KOR,33,12,26,39,10,15
CAN,33,11,29,37,10,13
INA,19,8,14,25,6,10
ESP,26,7,20,33,5,9
ITA,25,7,19,31,5,10
NED,24,7,19,30,5,9
HUN,18,7,14,23,5,8
MAS,17,7,14,21,5,8
MEX,18,6,14,21,5,8
POL,17,6,13,20,4,7
AUS,14,6,6,21,3,9
UKR,21,5,19,24,4,6
CUB,19,5,16,22,4,6
ARG,13,4,9,16,2,5
DEN,11,4,6,15,2,6
KEN,10,4,5,15,3,6
ROU,11,3,7,14,2,4
HKG,10,3,8,11,3,4
TUR,10,3,9,12,2,4
CRO,9,3,6,13,1,4
TPE,9,3,6,12,2,4
IND,8,3,5,10,2,3
FIJ,6,3,2,10,1,5
JPN,4,3,-2,11,1,6
BLR,11,2,8,15,0,3
CZE,10,2,6,15,1,4
EUN,9,2,7,11,2,3
SUI,9,2,6,12,1,4
AZE,8,2,6,11,1,3
GEO,8,2,7,10,2,3
GRE,8,2,6,10,1,3
BEL,7,2,5,9,1,3
IRI,7,2,5,10,1,3
SGP,7,2,5,8,2,3
EGY,6,2,4,8,1,3
MGL,6,2,5,7,1,2
NZL,6,2,2,10,1,4
TUN,6,2,5,7,2,2
PRK,5,2,3,7,1,3
SRB,5,2,3,8,1,3
VEN,5,2,4,6,1,2
BRA,-2,2,-9,4,-1,4
KAZ,7,1,4,9,0,2
ISR,6,1,4,8,0,2
UZB,6,1,5,8,0,2
CHI,5,1,3,7,0,2
COL,5,1,3,8,0,2
EST,5,1,4,6,1,2
ALG,4,1,3,4,1,1
ARM,4,1,2,5,1,2
JAM,4,1,2,6,1,2
AUT,3,1,1,5,-0,1
ETH,3,1,1,4,0,1
KGZ,3,1,2,4,0,1
MAR,3,1,2,4,0,1
PUR,3,1,3,4,1,1
