Country,total,gold,TlLower,TlUpper,GLower,GUpper
USA,98,37,88,109,33,41
CHN,70,25,60,79,22,29
GER,55,18,49,61,16,20
KOR,52,19,45,59,16,21
GBR,49,17,42,55,15,19
MEX,40,13,34,46,11,16
RUS,40,11,36,45,9,13
JPN,27,11,21,34,8,13
HUN,19,7,15,23,5,9
POL,19,6,15,22,5,7
AUT,17,6,15,20,5,7
CUB,16,4,14,19,3,5
MAS,15,6,12,18,4,7
RSA,15,5,12,18,4,6
SLO,14,5,12,16,4,6
ISR,14,4,12,17,3,4
INA,13,5,9,17,4,7
ITA,13,1,5,20,-2,4
ARG,12,3,8,15,2,4
CZE,12,3,8,16,2,5
KEN,11,5,6,15,3,6
ROU,11,3,8,14,2,4
TUR,11,3,9,12,3,4
CRO,10,3,7,13,2,4
DEN,10,3,6,14,2,5
DOM,10,3,8,12,3,4
BLR,10,1,7,13,-0,2
BEL,9,3,7,11,2,3
HKG,9,3,7,11,2,4
IND,8,3,6,11,2,4
GEO,8,2,6,10,2,3
TPE,8,2,5,11,1,4
EUN,7,2,6,9,1,3
IRI,7,2,4,9,1,3
MGL,7,2,5,8,1,3
AZE,7,1,5,10,0,2
SGP,6,2,5,8,2,3
SRB,6,2,4,8,1,3
TUN,6,2,5,7,2,2
KAZ,6,1,4,9,0,2
FIJ,5,3,2,9,1,4
EST,5,2,4,6,1,2
JAM,5,2,3,7,1,3
VEN,5,2,4,6,1,2
CHI,5,1,3,6,0,2
UZB,5,0,3,7,-1,1
NZL,4,2,-0,8,0,3
PRK,4,2,3,6,1,3
ALG,4,1,3,5,1,1
ARM,3,1,2,4,1,1
ETH,3,1,2,5,1,2
FIN,3,1,1,6,0,2
KGZ,3,1,2,4,0,1
MAR,3,1,2,4,0,1
PUR,3,1,3,4,1,1
THA,3,1,1,6,0,2
IRL,3,0,1,5,-0,1
CYP,2,1,1,2,0,1
NGR,2,1,0,4,0,2
TTO,2,1,1,2,0,1
URU,2,1,1,2,0,1
GUA,1,1,1,2,0,1
LTU,1,1,-1,4,0,2
QAT,1,1,0,2,0,1
VIE,1,1,1,2,1,1
ANG,1,0,1,1,0,0
ARU,1,0,0,1,0,0
ASA,1,0,0,1,0,0
BAH,1,0,1,2,0,1
BAR,1,0,0,1,0,0
BDI,1,0,0,1,0,0
BEN,1,0,0,1,0,0
BER,1,0,0,1,0,0
BIH,1,0,1,1,0,0
BOT,1,0,0,1,0,0
BRN,1,0,1,2,0,1
BUR,1,0,0,1,0,0
CGO,1,0,0,1,0,0
CIV,1,0,-0,2,-0,1
COD,1,0,0,1,-0,0
COK,1,0,0,1,-0,0
DJI,1,0,0,1,0,0
EOR,1,0,1,2,0,1
ERI,1,0,0,1,0,0
ESA,1,0,0,1,0,0
GAB,1,0,0,1,0,0
GBS,1,0,0,1,0,0
GRN,1,0,0,1,0,0
GUI,1,0,0,1,0,0
GUY,1,0,0,1,0,0
HAI,1,0,0,1,0,0
JOR,1,0,0,1,-0,0
KOS,1,0,1,1,0,0
LBA,1,0,0,1,0,0
LCA,1,0,0,1,0,0
LUX,1,0,1,1,0,0
MAD,1,0,0,1,0,0
MDA,1,0,1,1,0,0
MKD,1,0,0,1,0,0
MLI,1,0,0,1,0,0
MOZ,1,0,1,1,0,0
MRI,1,0,1,1,0,0
NAM,1,0,1,1,0,0
NED,1,-0,-5,7,-2,2
NEP,1,0,0,1,0,0
