Country,GoldCount_1,GoldCount_2,GoldCount_3,GoldCount_4,GoldCount_5,GoldCount_6,GoldCount_7,GoldCount_8
AFG,-0,-0,-0,-0,0,0,0,0
AHO,-0,-0,-0,-0,-0,0,0,0
AIN,-0,-0,-0,-0,-0,0,0,0
ALB,-0,-0,-0,-0,-0,0,0,0
ALG,1,1,1,1,1,1,1,1
AND,-0,-0,-0,-0,-0,0,0,0
ANG,0,0,0,0,0,0,0,0
ANT,-0,-0,-0,0,0,0,0,0
ANZ,-0,-0,-0,-0,-0,0,0,0
ARG,0,-1,3,4,5,5,4,4
ARM,-0,-0,0,0,1,1,1,1
ARU,-0,-0,0,0,0,0,0,0
ASA,-0,-0,0,0,0,0,0,0
AUS,20,19,21,4,3,14,-3,6
AUT,4,3,4,2,4,3,5,1
AZE,-1,-1,0,0,1,1,1,2
BAH,0,1,1,1,1,0,0,0
BAN,-0,-0,-0,-0,-0,-0,0,0
BAR,-0,0,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,0
BEL,-1,2,4,1,3,3,2,2
BEN,0,0,0,0,0,0,0,0
BER,-0,-0,0,0,0,0,0,0
BHU,-0,-0,-0,-0,-0,-0,0,0
BIH,0,-0,0,0,0,0,0,0
BIZ,-0,-0,-0,-0,0,0,0,0
BLR,0,-0,-0,-1,-1,0,1,2
BOH,-0,-0,-0,-0,-0,0,0,0
BOL,0,0,0,0,0,0,0,0
BOT,0,0,0,0,0,0,0,0
BRA,-0,5,6,-4,-10,6,-2,2
BRN,0,1,1,1,0,0,0,0
BRU,-0,-0,-0,-0,-0,0,0,0
BUL,-2,-1,-2,-3,-3,-2,-1,-1
BUR,0,0,0,0,0,0,0,0
CAF,-0,-0,-0,-0,-0,0,0,0
CAM,-0,-0,-0,-0,-0,0,0,0
CAN,9,9,8,4,11,7,-1,11
CAY,-0,-0,-0,-0,-0,0,0,0
CGO,0,-0,0,0,0,0,0,0
CHA,-0,-0,-0,-0,-0,0,0,0
CHI,-1,-2,-1,-0,0,1,1,1
CHN,35,30,48,43,47,49,34,44
CIV,0,0,0,1,1,0,0,0
CMR,-0,-1,-1,-1,-1,-1,-0,-0
COD,-0,-0,-0,0,0,0,0,0
COK,-0,-0,-0,-0,0,0,0,0
COL,1,1,0,-4,-1,0,-2,1
COM,-0,-0,-0,-0,0,0,0,0
CPV,-0,-0,-0,-0,-0,-0,-0,0
CRC,0,-0,2,-5,-10,0,-4,-4
CRO,6,3,2,2,2,3,3,3
CRT,-0,-0,-0,-0,-0,0,0,0
CUB,6,5,5,5,5,6,5,5
CYP,1,1,1,1,1,1,1,1
CZE,4,-0,1,2,3,4,3,2
DEN,6,4,7,3,5,5,4,4
DJI,-0,0,0,0,0,0,0,0
DMA,-0,-0,-0,-0,-0,0,0,0
DOM,1,1,0,4,2,1,3,1
ECU,1,1,-6,-2,-1,-4,-1,0
EGY,-1,2,3,3,3,3,-12,2
EOR,0,1,0,1,0,0,0,0
ERI,-0,0,0,0,0,0,0,0
ESA,0,-0,0,0,0,0,0,0
ESP,-3,3,-1,4,6,2,-6,7
EST,1,1,2,2,2,2,1,1
ETH,1,3,2,2,2,2,1,1
EUN,0,1,2,1,1,2,2,2
FIJ,3,1,1,1,2,2,3,3
FIN,2,2,1,2,1,1,1,0
FRA,21,41,37,-27,-64,24,-8,-53
FRG,-0,-0,-0,-0,-0,0,0,0
FSM,-0,-0,-0,-0,-0,0,0,0
GAB,0,0,0,0,0,0,0,0
GAM,-0,-0,-0,-0,-0,0,0,0
GBR,20,20,21,17,22,17,19,16
GBS,-0,-0,0,0,0,0,0,0
GDR,-0,-0,-0,-0,-0,0,0,0
GEO,3,3,3,2,3,2,2,2
GEQ,-0,-0,-0,-0,-0,0,0,0
GER,11,11,0,8,15,3,18,13
GHA,-0,-1,-1,-1,-1,-1,-1,-0
GRE,4,4,3,2,2,2,-12,2
GRN,0,0,0,0,0,0,0,0
GUA,1,1,1,1,1,1,1,0
GUI,0,0,0,0,0,0,0,0
GUM,-0,-0,-0,-0,-0,0,0,0
GUY,-0,-0,-0,-0,0,0,0,0
HAI,0,0,0,0,0,0,0,0
HKG,2,1,3,1,3,3,3,3
HON,-0,-0,-0,-0,-0,-0,-0,-0
HUN,7,7,1,6,7,2,7,7
INA,4,4,7,7,8,9,7,8
IND,3,2,3,4,4,4,3,3
IOA,1,1,0,0,0,-0,-0,-0
IRI,0,0,1,2,3,2,2,2
IRL,-1,1,2,-1,0,0,0,0
IRQ,-0,-0,-0,-0,-0,0,0,0
ISL,-0,-0,-0,-0,-0,-0,-0,0
ISR,-2,1,1,3,0,1,4,1
ISV,-0,-0,-0,-0,-0,0,0,0
ITA,5,9,-2,4,8,1,2,7
IVB,-0,-0,-0,-0,0,0,0,0
JAM,2,4,4,4,3,2,2,1
JOR,0,-0,-0,0,0,0,0,0
JPN,10,10,18,18,7,15,11,3
KAZ,2,1,1,1,2,2,2,1
KEN,5,6,6,6,5,5,4,4
KGZ,0,-0,0,0,1,1,1,1
KIR,-0,-0,-0,-0,0,0,0,0
KOR,5,11,15,18,16,16,19,12
