Country,GoldCount_1,GoldCount_2,GoldCount_3,GoldCount_4,GoldCount_5,GoldCount_6,GoldCount_7,GoldCount_8,GoldCount_9
AFG,0,-0,-0,-0,0,0,0,0,0
AHO,-0,-0,-0,-0,-0,-0,0,0,0
AIN,6,1,-0,0,0,1,2,2,2
ALB,0,0,-0,0,0,0,0,0,0
ALG,3,2,1,2,2,2,2,2,2
AND,-0,-0,-0,-0,-0,-0,0,0,0
ANG,-0,0,0,0,0,0,0,0,0
ANT,0,0,-0,0,0,0,0,0,0
ANZ,-0,-0,-0,-0,-0,-0,0,0,0
ARG,-2,3,2,4,5,5,5,4,4
ARM,-0,-0,0,0,0,1,1,1,1
ARU,0,0,0,0,0,0,0,0,0
ASA,0,-0,-0,0,0,0,0,0,0
AUS,37,22,21,24,18,25,25,25,25
AUT,-0,4,4,4,4,4,4,4,3
AZE,2,2,1,1,1,1,1,2,2
BAH,0,0,0,0,0,0,0,0,0
BAN,0,-0,-0,-0,-0,-0,-0,0,0
BAR,-0,-0,-0,0,0,0,0,0,0
BDI,0,-0,-0,0,0,0,0,0,0
BEL,-1,5,6,6,6,5,4,4,4
BEN,-0,0,-0,0,0,0,0,0,0
BER,-0,-0,-0,-0,-0,-0,-0,-0,0
BHU,0,-0,-0,-0,-0,-0,-0,0,0
BIH,-0,-0,-0,0,0,0,0,0,0
BIZ,-0,-0,-0,-0,-0,-0,0,0,0
BLR,-0,-2,-1,-2,-3,-3,-2,-2,-2
BOH,-0,-0,-0,-0,-0,-0,0,0,0
BOL,0,-0,-0,-0,-0,0,0,0,0
BOT,0,0,0,0,0,0,0,0,0
BRA,22,5,3,10,14,17,16,16,15
BRN,-0,0,0,0,0,0,0,0,0
BRU,-0,-0,-0,-0,-0,-0,0,0,0
BUL,0,-1,-1,-2,-3,-4,-3,-2,-2
BUR,0,0,0,0,0,0,0,0,0
CAF,-0,-0,-0,-0,-0,-0,0,0,0
CAM,0,-0,-0,-0,-0,-0,0,0,0
CAN,9,9,8,10,10,10,10,10,11
CAY,0,-0,-0,-0,-0,-0,0,0,0
CGO,-0,-0,-0,-0,-0,-0,0,0,0
CHA,0,-0,-0,-0,-0,-0,-0,0,0
CHI,-3,-1,-2,-1,-1,-0,0,0,0
CHN,28,36,37,38,26,40,41,41,41
CIV,-0,0,0,0,0,0,0,0,0
CMR,-1,-0,-0,-0,-1,-0,-0,-0,-0
COD,0,-0,-0,-0,-0,-0,0,0,0
COK,-0,-0,-0,-0,-0,-0,-0,0,0
COL,-2,3,3,3,1,2,2,3,3
COM,-0,-0,-0,-0,-0,-0,0,0,0
CPV,0,-0,-0,-0,-0,-0,0,0,0
CRC,0,0,-0,0,0,0,0,1,1
CRO,1,5,3,1,1,1,2,2,2
CRT,-0,-0,-0,-0,-0,-0,0,0,0
CUB,1,4,4,4,4,4,4,4,4
