Country,total,gold,TlLower,TlUpper,GLower,GUpper
USA,105,14,67,143,-1,28
CHN,95,38,81,108,33,43
GBR,89,25,72,106,19,32
JPN,75,22,57,93,16,29
FRA,74,30,58,90,24,36
AUS,66,24,57,76,21,28
NED,49,17,38,61,13,22
GER,49,16,42,56,13,19
KOR,38,15,33,43,14,17
ITA,38,12,32,44,10,14
BRA,33,10,21,44,6,15
CAN,29,10,24,34,8,12
UKR,25,7,13,37,3,12
HUN,22,10,7,36,4,15
ESP,16,6,10,22,3,8
NZL,16,6,11,21,4,8
BEL,14,6,10,18,5,8
SUI,14,5,8,20,3,7
SWE,13,5,9,16,4,7
CUB,13,4,10,15,3,5
ARG,11,4,8,14,3,5
AUT,11,4,9,14,3,5
DEN,11,4,6,16,2,6
POL,11,4,5,18,1,6
GRE,11,3,8,14,2,4
RSA,10,6,5,15,4,8
KEN,10,4,8,12,3,5
IND,10,3,8,12,2,4
TUR,10,3,6,14,1,4
INA,9,5,5,14,3,6
SLO,9,5,5,12,3,6
GEO,9,3,8,11,2,4
MAS,9,3,7,11,2,4
MAR,9,2,3,15,-0,5
FIN,8,3,6,10,2,3
MEX,8,1,2,15,-2,3
ROC,8,1,4,11,-0,3
JAM,7,3,6,9,3,4
MGL,7,3,6,9,2,3
IRI,7,2,5,10,1,2
KAZ,7,2,4,11,1,3
PUR,6,3,5,8,3,4
RUS,6,3,2,10,1,4
LTU,6,2,4,8,2,3
ROU,6,2,2,10,0,3
AZE,6,1,4,8,0,2
CRO,6,1,3,8,0,2
POR,5,3,2,8,2,4
SRB,5,3,1,9,2,5
NGR,5,2,3,6,2,3
PRK,5,2,4,6,2,3
THA,5,2,2,8,1,3
EGY,5,1,1,9,-0,3
CZE,5,0,2,8,-1,1
COL,4,3,-0,9,1,5
ALG,4,2,3,6,1,2
ETH,4,2,3,5,2,2
HKG,4,2,2,5,1,2
SGP,4,2,3,5,1,2
CYP,4,1,4,5,1,2
FIJ,4,1,2,6,0,2
IRL,4,1,1,8,0,3
TPE,4,1,2,6,-0,2
TUN,4,1,3,4,1,1
EOR,3,1,2,5,1,2
EST,3,1,2,4,1,2
NOR,3,1,-1,7,-1,2
KGZ,3,0,2,4,-0,1
ECU,2,1,-1,6,-0,2
GUA,2,1,2,3,1,1
ISR,2,1,-1,5,0,2
KOS,2,1,1,2,1,1
PER,2,1,-2,5,-0,2
QAT,2,1,1,2,1,1
SCG,2,1,1,2,0,1
TJK,2,1,1,2,0,1
UAE,2,1,1,2,1,1
ARM,2,0,1,4,-0,1
MDA,2,0,1,2,0,1
UZB,2,0,0,4,-0,1
LAT,1,2,-2,5,0,3
TTO,1,1,1,2,0,1
VEN,1,1,-0,3,0,1
ALB,1,0,0,1,-0,0
BAH,1,0,1,1,0,1
BOT,1,0,0,1,0,0
BRN,1,0,1,1,0,0
BUR,1,0,0,1,-0,0
CIV,1,0,0,1,-0,0
ERI,1,0,-1,2,-0,1
JOR,1,0,0,1,-0,0
KUW,1,0,1,2,0,1
MKD,1,0,0,1,0,0
MOZ,1,0,0,1,0,0
NAM,1,-0,-1,3,-1,0
NIG,1,0,0,1,-0,0
SMR,1,0,1,1,0,0
UGA,1,0,1,1,0,0
URU,1,0,1,2,0,0
VIE,1,0,1,2,0,0
AFG,0,-0,-0,1,-0,0
AHO,0,-0,-0,0,-0,-0
AND,0,-0,-0,0,-0,0
ANG,0,0,0,1,0,0
ANT,0,0,0,1,-0,0
ANZ,0,-0,-0,0,-0,-0
ARU,0,0,0,1,-0,0
ASA,0,0,0,1,-0,0
BAN,0,-0,-0,0,-0,-0
BAR,0,0,-0,0,-0,0
BDI,0,0,0,0,-0,0
BEN,0,0,-0,0,-0,0
BER,-0,-0,-1,0,-1,-0
BHU,-0,-0,-0,0,-0,-0
BIH,0,0,-0,0,-0,0
BIZ,0,-0,-0,0,-0,0
BOH,0,-0,-0,0,-0,-0
BOL,0,-0,-0,0,-0,0
BRU,0,-0,-0,0,-0,0
CAF,0,-0,-0,0,-0,0
CAM,-0,-0,-0,0,-0,0
CAY,0,-0,-0,0,-0,0
CGO,0,-0,-0,0,-0,0
CHA,-0,-0,-0,0,-0,-0
CMR,-0,-0,-1,0,-1,-0
COD,0,-0,-0,0,-0,0
COK,-0,-0,-0,0,-0,0
COM,0,-0,-0,0,-0,0
CPV,0,-0,-0,0,-0,0
CRC,-0,0,-2,1,-1,1
CRT,0,-0,-0,0,-0,-0
DJI,0,0,0,0,-0,0
DMA,0,-0,-0,0,-0,0
DOM,-0,0,-2,2,-1,1
ESA,-0,-0,-0,0,-0,0
EUN,0,-0,-0,0,-0,-0
FRG,0,-0,-0,0,-0,-0
