Country,total,gold,TlLower,TlUpper,GLower,GUpper
CHN,84,35,79,89,32,38
AUS,65,23,60,70,21,26
GBR,71,15,66,76,13,18
KOR,37,15,34,41,14,17
FRA,28,15,21,36,12,19
USA,-7,15,-38,25,0,30
JPN,46,14,41,50,12,17
NED,34,14,29,39,12,16
ITA,39,13,35,43,11,15
GER,31,11,26,36,8,13
CAN,27,10,24,31,8,12
NZL,17,8,14,20,6,9
GRE,18,5,16,20,4,6
TUR,15,5,13,17,4,6
IND,14,5,13,16,4,6
SWE,13,5,11,16,4,7
BEL,7,5,5,10,3,6
RSA,7,5,4,10,4,7
BRA,21,4,13,29,-0,8
ESP,14,4,10,19,2,6
CRO,12,4,10,14,3,5
CUB,12,4,10,13,3,5
POL,12,4,8,16,2,6
AUT,9,4,7,11,3,5
SLO,8,4,6,10,3,5
DEN,7,4,4,10,2,5
SRB,6,4,4,9,3,6
HUN,13,3,10,16,2,5
UKR,11,3,8,13,2,4
ROU,10,3,7,12,2,5
FIN,8,3,7,10,2,3
IRL,8,3,6,10,2,4
KAZ,8,3,6,11,1,4
KEN,7,3,6,9,2,3
MGL,7,3,6,9,2,4
SUI,6,3,3,10,1,5
INA,5,3,2,7,2,5
THA,4,3,2,6,2,4
COL,3,3,0,6,1,4
GEO,7,2,5,8,1,3
ROC,7,2,5,9,0,3
ALG,6,2,5,7,1,2
MAS,6,2,4,7,2,3
TPE,6,2,5,8,1,2
CYP,5,2,4,5,1,2
JAM,5,2,4,7,1,3
NGR,5,2,4,7,2,3
POR,5,2,3,8,1,4
SGP,5,2,4,6,1,2
ARG,4,2,2,7,1,4
FIJ,4,2,3,6,1,2
HKG,4,2,3,6,1,2
ISR,4,2,2,7,1,3
PRK,4,2,3,5,1,2
PUR,4,2,2,6,1,3
EOR,3,2,2,4,1,2
MEX,9,1,4,13,-1,3
IRI,7,1,5,8,1,2
AZE,5,1,4,6,0,2
EST,4,1,3,4,1,1
EGY,3,1,0,6,-1,2
ETH,3,1,2,4,1,1
GUA,3,1,2,3,1,1
LTU,3,1,2,5,-0,1
SCG,3,1,2,4,1,1
SVK,3,1,2,4,1,2
TUN,3,1,2,3,0,1
KUW,2,1,2,3,1,1
MAR,2,1,1,3,0,1
PER,2,1,1,4,-0,2
RUS,2,1,-1,5,-1,3
TJK,2,1,1,2,0,1
UZB,2,1,1,4,-0,1
VIE,2,1,2,3,0,1
DOM,1,1,-0,3,0,2
KOS,1,1,1,1,0,1
SMR,1,1,1,2,0,1
UAE,1,1,1,2,0,1
VEN,1,1,0,2,0,1
LAT,-2,1,-4,1,-0,2
CZE,3,-0,0,5,-1,1
ARM,2,-0,1,3,-1,0
KGZ,2,-0,1,3,-0,0
MDA,2,0,2,2,0,1
URU,2,0,1,2,0,1
AIN,1,0,-2,4,-1,2
ALB,1,0,0,1,-0,0
BAH,1,0,1,1,0,0
BAN,1,-0,0,1,-0,0
BOT,1,0,0,1,0,0
BRN,1,0,0,1,0,0
BUR,1,0,0,1,-0,0
CMR,1,0,0,1,-0,0
ECU,1,0,-1,3,-1,1
ERI,1,0,0,2,-0,1
KSA,1,0,0,1,0,0
LUX,1,-0,0,2,-0,0
MOZ,1,0,1,1,0,0
MRI,1,0,1,1,0,0
PAK,1,0,0,1,0,0
PAN,1,0,0,1,-0,0
QAT,1,0,1,2,0,1
RWA,1,0,0,1,-0,0
TTO,1,0,0,1,0,0
UGA,1,0,1,1,0,0
ZAM,1,0,0,1,-0,0
ZIM,1,0,0,1,0,0
AFG,0,-0,-0,0,-0,0
AHO,-0,-0,-1,-0,-0,-0
AND,-0,-0,-0,-0,-0,-0
ANG,0,0,0,1,-0,0
ANT,0,0,0,1,-0,0
ANZ,-0,-0,-1,-0,-0,-0
ARU,0,0,0,1,0,0
ASA,0,-0,-0,0,-0,0
