Country,TotalCount_1,TotalCount_2,TotalCount_3,TotalCount_4,TotalCount_5,TotalCount_6,TotalCount_7,TotalCount_8
AFG,-0,0,-0,-0,0,0,0,0
AHO,-0,-0,-0,-0,-0,-0,0,0
AIN,-2,1,-3,-3,-1,-0,2,2
ALB,1,1,0,1,0,1,1,1
ALG,5,6,4,5,5,5,6,6
AND,-0,-0,-0,-0,-0,0,0,0
ANG,-0,0,0,0,0,0,0,1
ANT,0,0,0,0,0,0,0,1
ANZ,-0,-0,-0,-0,-0,-0,0,0
ARG,-1,4,3,10,11,12,11,10
ARM,6,2,3,2,2,2,2,2
ARU,0,0,0,0,0,0,0,0
ASA,0,0,0,0,0,0,0,1
AUS,64,65,63,57,71,65,77,78
AUT,2,9,11,11,12,11,11,10
AZE,5,5,5,5,6,6,7,8
BAH,1,1,1,1,1,1,1,1
BAN,-0,1,-0,-0,-0,-0,0,0
BAR,-0,0,0,0,0,0,0,0
BDI,-0,0,0,0,0,0,0,1
BEL,9,7,12,14,15,14,12,12
BEN,-0,0,0,0,0,0,0,1
BER,-2,-1,-1,-0,0,0,0,0
BHU,-0,-0,-0,-0,-0,-0,0,0
BIH,-0,-0,0,0,0,0,0,1
BIZ,-0,-0,-0,-0,-0,0,0,0
BLR,-5,-4,-3,-5,-6,-5,-2,-2
BOH,-0,-0,-0,-0,-0,-0,0,0
BOL,-0,-0,-0,-0,0,0,0,0
BOT,0,1,1,1,1,1,1,1
BRA,22,21,11,21,32,35,35,35
BRN,1,1,1,1,1,1,1,1
BRU,-0,-0,-0,-0,-0,0,0,0
BUL,3,-4,-3,-5,-6,-5,-2,-1
BUR,-0,1,0,0,1,1,1,1
CAF,-0,-0,-0,-0,-0,0,0,0
CAM,-0,-0,-0,-0,-0,0,0,0
CAN,26,27,27,30,34,35,34,36
CAY,-0,-0,-0,-0,0,0,0,0
CGO,-0,-0,-0,-0,-0,0,0,0
CHA,-0,-0,-0,-0,-0,-0,0,0
CHI,-8,-2,-3,-1,-0,0,1,1
CHN,77,84,94,78,94,78,102,102
CIV,0,0,1,1,1,1,1,1
CMR,-1,1,0,-0,-1,-1,-1,-0
COD,0,0,-0,-0,0,0,0,0
COK,-1,-0,-0,-0,-0,-0,-0,-0
COL,-2,3,5,5,4,4,5,6
COM,-0,-0,-0,-0,-0,0,0,0
CPV,0,0,-0,-0,0,0,0,1
CRC,-1,0,-0,-0,0,0,0,1
CRO,6,12,8,6,4,5,5,7
CRT,-0,-0,-0,-0,-0,-0,0,0
CUB,5,12,11,12,13,12,13,12
CYP,5,5,4,4,3,3,3,3
CZE,-12,3,3,6,7,7,8,6
DEN,2,7,10,11,11,9,9,8
DJI,-0,0,0,0,0,0,0,1
DMA,-0,-0,-0,-0,-0,0,0,0
DOM,2,1,1,-0,-0,0,1,1
ECU,2,1,3,3,3,4,5,4
EGY,5,3,3,6,7,8,8,8
EOR,-2,3,4,4,4,4,3,3
ERI,-0,1,1,1,1,1,1,1
ESA,-0,-0,-0,-0,-0,0,0,0
ESP,17,14,11,16,20,21,21,21
EST,4,4,3,3,4,3,3,4
ETH,3,3,5,5,5,4,4,3
EUN,-0,-0,-0,-0,-0,-0,0,0
FIJ,4,4,3,4,3,4,5,6
FIN,11,8,8,8,7,7,6,5
FRA,34,28,63,53,86,58,90,88
FRG,-0,-0,-0,-0,-0,-0,0,0
FSM,-0,-0,-0,-0,-0,0,0,0
GAB,-0,0,0,0,0,0,1,1
GAM,-0,-0,-0,0,0,0,0,0
GBR,67,71,77,79,79,77,80,78
GBS,-0,-0,0,0,0,0,0,1
GDR,-0,-0,-0,-0,-0,-0,0,0
GEO,5,7,9,9,9,8,8,8
GEQ,-0,-0,-0,-0,0,0,0,0
GER,14,31,37,25,48,20,49,50
GHA,0,0,-0,0,0,0,0,1
GRE,15,18,15,12,10,10,10,10
GRN,0,0,0,0,1,1,1,1
GUA,2,3,3,3,2,2,1,1
GUI,-0,0,0,0,0,0,0,1
GUM,-0,-0,0,0,0,0,0,0
GUY,-0,-0,-0,-0,0,0,0,0
HAI,-0,0,0,0,0,0,0,1
HKG,2,4,3,5,6,8,8,9
HON,-0,-0,-0,-0,-0,-0,-0,0
HUN,9,13,14,14,11,11,9,7
INA,4,5,8,10,10,10,10,10
IND,13,14,11,11,10,10,9,8
IOA,0,0,0,0,0,0,0,0
IRI,7,7,6,7,7,8,7,6
IRL,10,8,5,6,7,8,10,12
IRQ,-0,-0,-0,-0,-0,-0,0,0
ISL,-1,-2,-1,-1,-1,-1,-1,-0
ISR,4,4,4,2,2,2,5,7
ISV,-0,-0,-0,-0,-0,0,0,0
ITA,33,39,37,28,40,26,40,39
IVB,-0,-0,-0,-0,0,0,0,0
JAM,4,5,8,8,8,7,7,5
JOR,0,0,0,0,1,1,1,1
JPN,48,46,79,56,84,58,94,95
KAZ,-4,8,6,7,6,5,4,3
KEN,5,7,9,10,10,10,10,9
KGZ,3,2,2,3,3,3,3,3
KIR,-0,-0,0,0,0,0,0,0
KOR,33,37,39,38,36,33,31,30
KOS,-1,1,2,2,2,1,1,2
KSA,1,1,1,1,1,1,1,1
