CountryCode,Gold,Total
AFG,0,1
AHO,0,0
AIN,0,0
ALB,0,0
ALG,0,2
AND,0,0
ANG,0,0
ANT,0,0
ANZ,0,0
ARG,2,6
ARM,0,5
ARU,0,0
ASA,0,0
AUS,14,46
AUT,0,3
AZE,1,6
BAH,0,2
BAN,0,0
BAR,0,0
BDI,0,0
BEL,2,2
BEN,0,0
BER,0,0
BHU,0,0
BIH,0,0
BIZ,0,0
BLR,3,14
BOH,0,0
BOL,0,0
BOT,0,0
BRA,3,17
BRN,0,0
BRU,0,0
BUL,1,5
BUR,0,0
CAF,0,0
CAM,0,0
CAN,3,20
CAY,0,0
CGO,0,0
CHA,0,0
CHI,0,1
CHN,48,100
CIV,0,0
CMR,1,1
COD,0,0
COK,0,0
COL,0,3
COM,0,0
CPV,0,0
CRC,0,0
CRO,0,5
CRT,0,0
CUB,3,30
CYP,0,0
CZE,3,7
DEN,2,7
DJI,0,0
DMA,0,0
DOM,1,2
ECU,0,1
EGY,0,2
EOR,0,0
ERI,0,0
ESA,0,0
ESP,5,19
EST,1,2
ETH,4,7
EUN,0,0
FIJ,0,0
FIN,1,4
FRA,7,43
FRG,0,0
FSM,0,0
GAB,0,0
GAM,0,0
GBR,19,51
GBS,0,0
GDR,0,0
GEO,3,7
GEQ,0,0
GER,16,41
GHA,0,0
GRE,0,3
GRN,0,0
GUA,0,0
GUI,0,0
GUM,0,0
GUY,0,0
HAI,0,0
HKG,0,0
HON,0,0
HUN,3,10
INA,1,6
IND,1,3
IOA,0,0
IRI,1,2
IRL,0,3
IRQ,0,0
ISL,0,1
ISR,0,1
ISV,0,0
ITA,8,27
IVB,0,0
JAM,5,11
JOR,0,0
JPN,9,25
KAZ,2,9
KEN,6,16
KGZ,0,3
KIR,0,0
KOR,13,32
KOS,0,0
KSA,0,0
KUW,0,0
LAO,0,0
LAT,1,3
LBA,0,0
LBN,0,0
LBR,0,0
LCA,0,0
LES,0,0
LIB,0,0
LIE,0,0
LTU,0,5
LUX,0,0
MAD,0,0
MAL,0,0
MAR,0,2
MAS,0,1
MAW,0,0
MDA,0,1
MDV,0,0
MEX,2,4
MGL,2,4
MHL,0,0
MKD,0,0
MLI,0,0
MLT,0,0
MNE,0,0
MON,0,0
MOZ,0,0
MRI,0,1
MTN,0,0
MYA,0,0
NAM,0,0
NBO,0,0
NCA,0,0
NED,7,16
NEP,0,0
NFL,0,0
NGR,0,5
NIG,0,0
NOR,3,9
NRU,0,0
NZL,3,9
OMA,0,0
PAK,0,0
PAN,1,1
PAR,0,0
PER,0,0
PHI,0,0
PLE,0,0
PLW,0,0
PNG,0,0
POL,4,11
POR,1,2
PRK,2,6
PUR,0,0
QAT,0,0
RHO,0,0
ROC,24,60
ROT,0,0
ROU,4,9
RSA,0,1
RUS,24,60
RWA,0,0
SAA,0,0
SAM,0,1
SCG,0,0
SEN,0,0
SEY,0,0
SGP,0,1
SKN,0,0
SLE,0,0
SLO,1,5
SMR,0,0
SOL,0,0
SOM,0,0
SRB,0,3
SRI,0,0
SSD,0,0
STP,0,0
SUD,0,1
SUI,2,7
SUR,0,0
SVK,3,6
SWE,0,5
SWZ,0,0
SYR,0,0
TAN,0,0
TCH,0,0
TGA,0,0
THA,2,6
TJK,0,2
TKM,0,0
TLS,0,0
TOG,0,1
TPE,0,0
TTO,1,2
TUN,1,1
TUR,1,5
TUV,0,0
UAE,0,0
UAR,0,0
UGA,0,0
UKR,7,22
UNK,0,0
URS,0,0
URU,0,0
USA,36,112
UZB,0,4
VAN,0,0
VEN,0,1
VIE,0,1
VIN,0,0
VNM,0,0
WIF,0,0
YAR,0,0
YEM,0,0
YMD,0,0
YUG,0,0
ZAM,0,0
ZIM,1,4
