Rank,CountryCode
1,USA
2,CHN
3,GER
4,ROC
5,RUS
6,GBR
7,AUS
8,FRA
9,JPN
10,ITA
11,KOR
12,NED
13,CUB
14,CAN
15,HUN
16,ESP
17,UKR
18,BRA
19,POL
20,ROU
21,EUN
22,NZL
23,KEN
24,BLR
25,SWE
26,BUL
27,KAZ
28,DEN
29,JAM
30,CZE
31,TUR
32,NOR
33,GRE
34,SUI
35,IRI
36,AZE
37,ETH
38,UZB
39,CRO
40,PRK
41,GEO
42,BEL
43,RSA
44,INA
45,MEX
46,THA
47,ARG
48,COL
49,SVK
50,AUT
51,SLO
52,LTU
53,IRL
54,SRB
55,IND
56,FIN
57,EGY
58,NGR
59,ARM
60,ISR
61,MAR
62,MGL
63,POR
64,ALG
65,LAT
66,EST
67,MAS
68,BAH
69,DOM
70,HKG
71,KGZ
72,TUN
73,TTO
74,PHI
75,VEN
76,ECU
77,MDA
78,QAT
79,BRN
80,PUR
81,UGA
82,CHI
83,TCH
84,TJK
85,ZIM
86,GRN
87,KOS
88,NAM
89,SGP
90,VIE
91,BOT
92,CMR
93,FIJ
94,JOR
95,KSA
96,CRC
97,GUA
98,KUW
99,SMR
100,SYR
101,AFG
102,ALB
103,BDI
104,CYP
105,GHA
106,ISL
107,LCA
108,MOZ
109,PAK
110,PAN
111,PER
112,SCG
113,UAE
114,ZAM
115,BAR
116,BER
117,BUR
118,DMA
119,EOR
120,ERI
121,GAB
122,MKD
123,MNE
124,MRI
125,NIG
126,PAR
127,SAM
128,SRI
129,SUD
130,SUR
131,TGA
132,TKM
133,TOG
134,URU
135,AHO
136,AIN
137,AND
138,ANG
139,ANT
140,ANZ
141,ARU
142,ASA
143,BAN
144,BEN
145,BHU
146,BIH
147,BIZ
148,BOH
149,BOL
150,BRU
151,CAF
152,CAM
153,CAY
154,CGO
155,CHA
156,CIV
157,COD
158,COK
159,COM
160,CPV
161,CRT
162,DJI
163,ESA
164,FRG
165,FSM
166,GAM
167,GBS
168,GDR
169,GEQ
170,GUI
171,GUM
172,GUY
173,HAI
174,HON
175,IOA
176,IRQ
177,ISV
178,IVB
179,KIR
180,LAO
181,LBA
182,LBN
183,LBR
184,LES
185,LIB
186,LIE
187,LUX
188,MAD
189,MAL
190,MAW
191,MDV
192,MHL
193,MLI
194,MLT
195,MON
196,MTN
197,MYA
198,NBO
199,NCA
200,NEP
201,NFL
202,NRU
203,OMA
204,PLE
205,PLW
206,PNG
207,RHO
208,ROT
209,RWA
210,SAA
211,SEN
212,SEY
213,SKN
214,SLE
215,SOL
216,SOM
217,SSD
218,STP
219,SWZ
220,TAN
221,TLS
222,TPE
223,TUV
224,UAR
225,UNK
226,URS
227,VAN
228,VIN
229,VNM
230,WIF
231,YAR
232,YEM
233,YMD
234,YUG
