Sport,Country,Ratio,Only2020_2024Count
"3x3 Basketball",AUS,4.23728813559322,5
"3x3 Basketball",AZE,3.38983050847458,4
"3x3 Basketball",BEL,3.38983050847458,4
"3x3 Basketball",CAN,3.38983050847458,4
"3x3 Basketball",CHN,11.0169491525424,13
"3x3 Basketball",ESP,3.38983050847458,4
"3x3 Basketball",FRA,9.32203389830508,11
"3x3 Basketball",GER,3.38983050847458,4
"3x3 Basketball",ITA,3.38983050847458,4
"3x3 Basketball",JPN,6.77966101694915,8
"3x3 Basketball",LAT,5.08474576271187,6
"3x3 Basketball",LTU,3.38983050847458,4
"3x3 Basketball",MGL,3.38983050847458,4
"3x3 Basketball",NED,5.08474576271187,6
"3x3 Basketball",POL,5.93220338983051,7
"3x3 Basketball",ROC,6.77966101694915,8
"3x3 Basketball",ROU,3.38983050847458,4
"3x3 Basketball",SRB,5.08474576271187,6
"3x3 Basketball",USA,10.1694915254237,12
"Archery",ARG,0.462962962962963,1
"Archery",AUS,2.77777777777778,6
"Archery",AUT,0.462962962962963,1
"Archery",AZE,0.462962962962963,1
"Archery",BAN,1.38888888888889,3
"Archery",BEL,0.462962962962963,1
"Archery",BHU,0.925925925925926,2
"Archery",BLR,1.38888888888889,3
"Archery",BRA,1.38888888888889,3
"Archery",CAN,1.85185185185185,4
"Archery",CHA,0.925925925925926,2
"Archery",CHI,0.925925925925926,2
"Archery",CHN,5.09259259259259,11
"Archery",COL,2.77777777777778,6
"Archery",CUB,0.462962962962963,1
"Archery",CZE,0.925925925925926,2
"Archery",DEN,0.925925925925926,2
"Archery",ECU,0.462962962962963,1
"Archery",EGY,1.38888888888889,3
"Archery",ESA,0.462962962962963,1
"Archery",ESP,1.85185185185185,4
"Archery",EST,0.462962962962963,1
"Archery",FIN,0.925925925925926,2
"Archery",FRA,3.24074074074074,7
"Archery",GBR,4.62962962962963,10
"Archery",GER,2.31481481481481,5
"Archery",GRE,0.462962962962963,1
"Archery",GUI,0.462962962962963,1
"Archery",HUN,0.462962962962963,1
"Archery",INA,3.24074074074074,7
"Archery",IND,4.16666666666667,9
"Archery",IRI,0.925925925925926,2
"Archery",ISR,1.38888888888889,3
"Archery",ISV,0.462962962962963,1
"Archery",ITA,2.77777777777778,6
"Archery",JPN,4.16666666666667,9
"Archery",KAZ,2.31481481481481,5
"Archery",KOR,4.62962962962963,10
"Archery",LUX,0.925925925925926,2
"Archery",MAS,1.85185185185185,4
"Archery",MAW,0.462962962962963,1
"Archery",MDA,0.925925925925926,2
"Archery",MEX,3.7037037037037,8
"Archery",MGL,0.925925925925926,2
"Archery",NED,3.24074074074074,7
"Archery",POL,1.38888888888889,3
"Archery",PUR,0.462962962962963,1
"Archery",ROC,1.85185185185185,4
"Archery",ROU,0.462962962962963,1
"Archery",RSA,0.462962962962963,1
"Archery",SLO,0.925925925925926,2
