Sports: Cycling Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: URS  Total: 2.96/k  Gold: 195.44/k  
Country: ITA  Total: 2.78/k  Gold: 191.22/k  
Country: GDR  Total: 2.17/k  Gold: 104.17/k  
Country: FRG  Total: 1.67/k  Gold: 75.15/k  
Country: FRA  Total: 1.65/k  Gold: 89.29/k  
Country: DEN  Total: 1.57/k  Gold: 49.60/k  
Country: POL  Total: 1.29/k  Gold: 0.00/k  
Country: GER  Total: 1.21/k  Gold: 17.86/k  
Country: USA  Total: 1.10/k  Gold: 62.50/k  
Country: AUS  Total: 1.09/k  Gold: 15.62/k  
Country: BEL  Total: 1.01/k  Gold: 33.48/k  
Country: NED  Total: 0.88/k  Gold: 67.46/k  
Country: SWE  Total: 0.63/k  Gold: 20.83/k  
Country: SUI  Total: 0.59/k  Gold: 20.83/k  
Country: TCH  Total: 0.55/k  Gold: 38.69/k  
Country: CAN  Total: 0.39/k  Gold: 0.00/k  
Country: GBR  Total: 0.27/k  Gold: 0.00/k  
Country: JAM  Total: 0.22/k  Gold: 0.00/k  
Country: NOR  Total: 0.17/k  Gold: 17.86/k  
Country: JPN  Total: 0.13/k  Gold: 0.00/k  
Country: MEX  Total: 0.13/k  Gold: 0.00/k  
Country: ALB  Total: 0.00/k  Gold: 0.00/k  
Country: ALG  Total: 0.00/k  Gold: 0.00/k  
Country: AND  Total: 0.00/k  Gold: 0.00/k  
Country: ANT  Total: 0.00/k  Gold: 0.00/k  
Country: ARG  Total: 0.00/k  Gold: 0.00/k  
Country: ARM  Total: 0.00/k  Gold: 0.00/k  
Country: ARU  Total: 0.00/k  Gold: 0.00/k  
Country: AUT  Total: 0.00/k  Gold: 0.00/k  
Country: AZE  Total: 0.00/k  Gold: 0.00/k  
Country: BAH  Total: 0.00/k  Gold: 0.00/k  
Country: BAR  Total: 0.00/k  Gold: 0.00/k  
Country: BEN  Total: 0.00/k  Gold: 0.00/k  
Country: BER  Total: 0.00/k  Gold: 0.00/k  
Country: BIZ  Total: 0.00/k  Gold: 0.00/k  
Country: BLR  Total: 0.00/k  Gold: 0.00/k  
Country: BOH  Total: 0.00/k  Gold: 0.00/k  
