Sports: Hockey Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: PAK  Total: 16.67/k  Gold: 312.50/k  
Country: IND  Total: 12.24/k  Gold: 187.50/k  
Country: FRG  Total: 9.95/k  Gold: 125.00/k  
Country: AUS  Total: 8.98/k  Gold: 62.50/k  
Country: NZL  Total: 5.68/k  Gold: 125.00/k  
Country: ESP  Total: 4.69/k  Gold: 0.00/k  
Country: NED  Total: 4.24/k  Gold: 62.50/k  
Country: URS  Total: 4.17/k  Gold: 0.00/k  
Country: TCH  Total: 3.12/k  Gold: 0.00/k  
Country: GBR  Total: 2.95/k  Gold: 62.50/k  
Country: ZIM  Total: 2.60/k  Gold: 62.50/k  
Country: KOR  Total: 1.88/k  Gold: 0.00/k  
Country: USA  Total: 1.39/k  Gold: 0.00/k  
Country: AFG  Total: 0.00/k  Gold: 0.00/k  
Country: ARG  Total: 0.00/k  Gold: 0.00/k  
Country: AUT  Total: 0.00/k  Gold: 0.00/k  
Country: BEL  Total: 0.00/k  Gold: 0.00/k  
Country: BRA  Total: 0.00/k  Gold: 0.00/k  
Country: CAN  Total: 0.00/k  Gold: 0.00/k  
Country: CHN  Total: 0.00/k  Gold: 0.00/k  
Country: CUB  Total: 0.00/k  Gold: 0.00/k  
Country: DEN  Total: 0.00/k  Gold: 0.00/k  
Country: EGY  Total: 0.00/k  Gold: 0.00/k  
Country: EUN  Total: 0.00/k  Gold: 0.00/k  
Country: FIN  Total: 0.00/k  Gold: 0.00/k  
Country: FRA  Total: 0.00/k  Gold: 0.00/k  
Country: GDR  Total: 0.00/k  Gold: 0.00/k  
Country: GER  Total: 0.00/k  Gold: 0.00/k  
Country: HKG  Total: 0.00/k  Gold: 0.00/k  
Country: HUN  Total: 0.00/k  Gold: 0.00/k  
Country: IRL  Total: 0.00/k  Gold: 0.00/k  
Country: ITA  Total: 0.00/k  Gold: 0.00/k  
Country: JPN  Total: 0.00/k  Gold: 0.00/k  
Country: KEN  Total: 0.00/k  Gold: 0.00/k  
Country: MAL  Total: 0.00/k  Gold: 0.00/k  
Country: MAS  Total: 0.00/k  Gold: 0.00/k  
Country: MEX  Total: 0.00/k  Gold: 0.00/k  
Country: POL  Total: 0.00/k  Gold: 0.00/k  
Country: RSA  Total: 0.00/k  Gold: 0.00/k  
Country: SGP  Total: 0.00/k  Gold: 0.00/k  
Country: SUI  Total: 0.00/k  Gold: 0.00/k  
Country: TAN  Total: 0.00/k  Gold: 0.00/k  
Country: UGA  Total: 0.00/k  Gold: 0.00/k  
