Sports: Judo Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: JPN  Total: 2.95/k  Gold: 294.64/k  
Country: KOR  Total: 2.59/k  Gold: 102.68/k  
Country: FRA  Total: 2.12/k  Gold: 111.61/k  
Country: CUB  Total: 1.98/k  Gold: 56.55/k  
Country: URS  Total: 1.88/k  Gold: 72.92/k  
Country: GBR  Total: 1.63/k  Gold: 0.00/k  
Country: GDR  Total: 0.97/k  Gold: 15.62/k  
Country: USA  Total: 0.93/k  Gold: 0.00/k  
Country: BRA  Total: 0.91/k  Gold: 26.79/k  
Country: ITA  Total: 0.89/k  Gold: 24.55/k  
Country: NED  Total: 0.85/k  Gold: 8.93/k  
Country: FRG  Total: 0.82/k  Gold: 15.62/k  
Country: CHN  Total: 0.69/k  Gold: 44.64/k  
Country: HUN  Total: 0.66/k  Gold: 8.93/k  
Country: GER  Total: 0.66/k  Gold: 17.86/k  
Country: BEL  Total: 0.63/k  Gold: 24.55/k  
Country: RUS  Total: 0.61/k  Gold: 0.00/k  
Country: POL  Total: 0.60/k  Gold: 35.71/k  
Country: MGL  Total: 0.45/k  Gold: 0.00/k  
Country: BUL  Total: 0.39/k  Gold: 0.00/k  
Country: ROU  Total: 0.30/k  Gold: 0.00/k  
Country: YUG  Total: 0.29/k  Gold: 0.00/k  
Country: AUT  Total: 0.29/k  Gold: 33.48/k  
Country: CAN  Total: 0.27/k  Gold: 0.00/k  
Country: ESP  Total: 0.26/k  Gold: 26.79/k  
Country: GEO  Total: 0.24/k  Gold: 8.93/k  
Country: ISR  Total: 0.21/k  Gold: 0.00/k  
Country: SUI  Total: 0.20/k  Gold: 15.62/k  
Country: EST  Total: 0.19/k  Gold: 0.00/k  
Country: EGY  Total: 0.18/k  Gold: 0.00/k  
Country: PRK  Total: 0.17/k  Gold: 8.93/k  
Country: UKR  Total: 0.16/k  Gold: 0.00/k  
Country: EUN  Total: 0.14/k  Gold: 17.86/k  
Country: TCH  Total: 0.13/k  Gold: 0.00/k  
Country: ISL  Total: 0.12/k  Gold: 0.00/k  
Country: SVK  Total: 0.10/k  Gold: 0.00/k  
Country: UZB  Total: 0.10/k  Gold: 0.00/k  
Country: BLR  Total: 0.07/k  Gold: 8.93/k  
Country: TUR  Total: 0.07/k  Gold: 8.93/k  
Country: SLO  Total: 0.07/k  Gold: 0.00/k  
Country: AUS  Total: 0.06/k  Gold: 0.00/k  
Country: KGZ  Total: 0.06/k  Gold: 0.00/k  
Country: LAT  Total: 0.06/k  Gold: 0.00/k  
Country: POR  Total: 0.06/k  Gold: 0.00/k  
Country: GRE  Total: 0.01/k  Gold: 8.93/k  
Country: AFG  Total: 0.00/k  Gold: 0.00/k  
Country: AHO  Total: 0.00/k  Gold: 0.00/k  
Country: ALB  Total: 0.00/k  Gold: 0.00/k  
Country: ALG  Total: 0.00/k  Gold: 0.00/k  
Country: AND  Total: 0.00/k  Gold: 0.00/k  
Country: ANG  Total: 0.00/k  Gold: 0.00/k  
Country: ARG  Total: 0.00/k  Gold: 0.00/k  
Country: ARM  Total: 0.00/k  Gold: 0.00/k  
Country: ARU  Total: 0.00/k  Gold: 0.00/k  
Country: ASA  Total: 0.00/k  Gold: 0.00/k  
Country: AZE  Total: 0.00/k  Gold: 0.00/k  
Country: BAR  Total: 0.00/k  Gold: 0.00/k  
Country: BDI  Total: 0.00/k  Gold: 0.00/k  
Country: BEN  Total: 0.00/k  Gold: 0.00/k  
Country: BHU  Total: 0.00/k  Gold: 0.00/k  
Country: BIH  Total: 0.00/k  Gold: 0.00/k  
Country: BIZ  Total: 0.00/k  Gold: 0.00/k  
Country: BOL  Total: 0.00/k  Gold: 0.00/k  
Country: BOT  Total: 0.00/k  Gold: 0.00/k  
Country: BRN  Total: 0.00/k  Gold: 0.00/k  
Country: BUR  Total: 0.00/k  Gold: 0.00/k  
Country: CAF  Total: 0.00/k  Gold: 0.00/k  
Country: CAM  Total: 0.00/k  Gold: 0.00/k  
Country: CGO  Total: 0.00/k  Gold: 0.00/k  
Country: CHA  Total: 0.00/k  Gold: 0.00/k  
Country: CHI  Total: 0.00/k  Gold: 0.00/k  
Country: CIV  Total: 0.00/k  Gold: 0.00/k  
Country: CMR  Total: 0.00/k  Gold: 0.00/k  
Country: COD  Total: 0.00/k  Gold: 0.00/k  
Country: COL  Total: 0.00/k  Gold: 0.00/k  
Country: COM  Total: 0.00/k  Gold: 0.00/k  
Country: CPV  Total: 0.00/k  Gold: 0.00/k  
Country: CRC  Total: 0.00/k  Gold: 0.00/k  
Country: CRO  Total: 0.00/k  Gold: 0.00/k  
Country: CYP  Total: 0.00/k  Gold: 0.00/k  
Country: CZE  Total: 0.00/k  Gold: 0.00/k  
Country: DEN  Total: 0.00/k  Gold: 0.00/k  
Country: DJI  Total: 0.00/k  Gold: 0.00/k  
Country: DOM  Total: 0.00/k  Gold: 0.00/k  
Country: ECU  Total: 0.00/k  Gold: 0.00/k  
Country: EOR  Total: 0.00/k  Gold: 0.00/k  
Country: ESA  Total: 0.00/k  Gold: 0.00/k  
Country: FIJ  Total: 0.00/k  Gold: 0.00/k  
Country: FIN  Total: 0.00/k  Gold: 0.00/k  
Country: GAB  Total: 0.00/k  Gold: 0.00/k  
Country: GAM  Total: 0.00/k  Gold: 0.00/k  
Country: GBS  Total: 0.00/k  Gold: 0.00/k  
Country: GEQ  Total: 0.00/k  Gold: 0.00/k  
Country: GHA  Total: 0.00/k  Gold: 0.00/k  
Country: GUA  Total: 0.00/k  Gold: 0.00/k  
Country: GUI  Total: 0.00/k  Gold: 0.00/k  
Country: GUM  Total: 0.00/k  Gold: 0.00/k  
Country: GUY  Total: 0.00/k  Gold: 0.00/k  
Country: HAI  Total: 0.00/k  Gold: 0.00/k  
Country: HKG  Total: 0.00/k  Gold: 0.00/k  
Country: HON  Total: 0.00/k  Gold: 0.00/k  
Country: INA  Total: 0.00/k  Gold: 0.00/k  
Country: IND  Total: 0.00/k  Gold: 0.00/k  
Country: IOA  Total: 0.00/k  Gold: 0.00/k  
Country: IRI  Total: 0.00/k  Gold: 0.00/k  
Country: IRL  Total: 0.00/k  Gold: 0.00/k  
Country: IRQ  Total: 0.00/k  Gold: 0.00/k  
Country: JAM  Total: 0.00/k  Gold: 0.00/k  
Country: JOR  Total: 0.00/k  Gold: 0.00/k  
Country: KAZ  Total: 0.00/k  Gold: 0.00/k  
Country: KEN  Total: 0.00/k  Gold: 0.00/k  
Country: KIR  Total: 0.00/k  Gold: 0.00/k  
Country: KOS  Total: 0.00/k  Gold: 0.00/k  
Country: KSA  Total: 0.00/k  Gold: 0.00/k  
Country: KUW  Total: 0.00/k  Gold: 0.00/k  
Country: LAO  Total: 0.00/k  Gold: 0.00/k  
Country: LBA  Total: 0.00/k  Gold: 0.00/k  
Country: LBN  Total: 0.00/k  Gold: 0.00/k  
Country: LIB  Total: 0.00/k  Gold: 0.00/k  
Country: LIE  Total: 0.00/k  Gold: 0.00/k  
Country: LTU  Total: 0.00/k  Gold: 0.00/k  
Country: LUX  Total: 0.00/k  Gold: 0.00/k  
Country: MAD  Total: 0.00/k  Gold: 0.00/k  
Country: MAR  Total: 0.00/k  Gold: 0.00/k  
Country: MAS  Total: 0.00/k  Gold: 0.00/k  
Country: MAW  Total: 0.00/k  Gold: 0.00/k  
Country: MDA  Total: 0.00/k  Gold: 0.00/k  
Country: MEX  Total: 0.00/k  Gold: 0.00/k  
Country: MKD  Total: 0.00/k  Gold: 0.00/k  
Country: MLI  Total: 0.00/k  Gold: 0.00/k  
Country: MLT  Total: 0.00/k  Gold: 0.00/k  
Country: MNE  Total: 0.00/k  Gold: 0.00/k  
Country: MON  Total: 0.00/k  Gold: 0.00/k  
Country: MOZ  Total: 0.00/k  Gold: 0.00/k  
Country: MRI  Total: 0.00/k  Gold: 0.00/k  
Country: MYA  Total: 0.00/k  Gold: 0.00/k  
Country: NCA  Total: 0.00/k  Gold: 0.00/k  
Country: NEP  Total: 0.00/k  Gold: 0.00/k  
Country: NGR  Total: 0.00/k  Gold: 0.00/k  
Country: NIG  Total: 0.00/k  Gold: 0.00/k  
Country: NOR  Total: 0.00/k  Gold: 0.00/k  
Country: NRU  Total: 0.00/k  Gold: 0.00/k  
Country: NZL  Total: 0.00/k  Gold: 0.00/k  
Country: PAK  Total: 0.00/k  Gold: 0.00/k  
Country: PAN  Total: 0.00/k  Gold: 0.00/k  
Country: PAR  Total: 0.00/k  Gold: 0.00/k  
Country: PER  Total: 0.00/k  Gold: 0.00/k  
Country: PHI  Total: 0.00/k  Gold: 0.00/k  
