Sports: Sailing Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: USA  Total: 4.18/k  Gold: 104.42/k  
Country: URS  Total: 1.75/k  Gold: 20.83/k  
Country: GBR  Total: 1.59/k  Gold: 93.28/k  
Country: BRA  Total: 1.29/k  Gold: 89.39/k  
Country: NZL  Total: 1.28/k  Gold: 63.84/k  
Country: AUS  Total: 1.19/k  Gold: 22.73/k  
Country: DEN  Total: 1.15/k  Gold: 93.66/k  
Country: AUT  Total: 1.11/k  Gold: 34.09/k  
Country: ESP  Total: 1.08/k  Gold: 140.68/k  
Country: SWE  Total: 0.86/k  Gold: 20.83/k  
Country: CAN  Total: 0.86/k  Gold: 0.00/k  
Country: ITA  Total: 0.78/k  Gold: 11.36/k  
Country: GDR  Total: 0.76/k  Gold: 36.46/k  
Country: FRG  Total: 0.57/k  Gold: 41.67/k  
Country: ARG  Total: 0.53/k  Gold: 0.00/k  
Country: NED  Total: 0.48/k  Gold: 17.86/k  
Country: GRE  Total: 0.48/k  Gold: 23.86/k  
Country: UKR  Total: 0.47/k  Gold: 12.50/k  
Country: IRL  Total: 0.45/k  Gold: 0.00/k  
Country: FIN  Total: 0.45/k  Gold: 32.20/k  
Country: NOR  Total: 0.39/k  Gold: 23.86/k  
Country: GER  Total: 0.39/k  Gold: 12.50/k  
Country: FRA  Total: 0.38/k  Gold: 67.61/k  
Country: HUN  Total: 0.30/k  Gold: 0.00/k  
Country: CHN  Total: 0.28/k  Gold: 0.00/k  
Country: JPN  Total: 0.21/k  Gold: 0.00/k  
Country: AHO  Total: 0.18/k  Gold: 0.00/k  
Country: ISV  Total: 0.18/k  Gold: 0.00/k  
Country: CZE  Total: 0.14/k  Gold: 0.00/k  
Country: BEL  Total: 0.12/k  Gold: 0.00/k  
Country: RUS  Total: 0.12/k  Gold: 0.00/k  
Country: POL  Total: 0.11/k  Gold: 12.50/k  
Country: ISR  Total: 0.10/k  Gold: 11.36/k  
Country: EST  Total: 0.09/k  Gold: 0.00/k  
Country: SLO  Total: 0.09/k  Gold: 0.00/k  
Country: POR  Total: 0.08/k  Gold: 0.00/k  
Country: HKG  Total: 0.02/k  Gold: 12.50/k  
Country: ALG  Total: 0.00/k  Gold: 0.00/k  
Country: AND  Total: 0.00/k  Gold: 0.00/k  
Country: ANG  Total: 0.00/k  Gold: 0.00/k  
Country: ANT  Total: 0.00/k  Gold: 0.00/k  
Country: ARU  Total: 0.00/k  Gold: 0.00/k  
Country: ASA  Total: 0.00/k  Gold: 0.00/k  
Country: BAH  Total: 0.00/k  Gold: 0.00/k  
Country: BAR  Total: 0.00/k  Gold: 0.00/k  
Country: BER  Total: 0.00/k  Gold: 0.00/k  
Country: BLR  Total: 0.00/k  Gold: 0.00/k  
Country: BOT  Total: 0.00/k  Gold: 0.00/k  
Country: BRN  Total: 0.00/k  Gold: 0.00/k  
Country: BUL  Total: 0.00/k  Gold: 0.00/k  
Country: CAM  Total: 0.00/k  Gold: 0.00/k  
Country: CAY  Total: 0.00/k  Gold: 0.00/k  
Country: CHI  Total: 0.00/k  Gold: 0.00/k  
Country: COK  Total: 0.00/k  Gold: 0.00/k  
