Sports: Canoeing Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: HUN  Total: 2.77/k  Gold: 125.95/k  
Country: GER  Total: 2.69/k  Gold: 179.69/k  
Country: FRA  Total: 2.18/k  Gold: 31.25/k  
Country: AUS  Total: 2.07/k  Gold: 15.62/k  
Country: GDR  Total: 1.96/k  Gold: 76.70/k  
Country: BUL  Total: 1.91/k  Gold: 37.41/k  
Country: ROU  Total: 1.71/k  Gold: 40.01/k  
Country: URS  Total: 1.61/k  Gold: 76.70/k  
Country: CAN  Total: 1.59/k  Gold: 28.65/k  
Country: SWE  Total: 1.55/k  Gold: 36.46/k  
Country: POL  Total: 1.47/k  Gold: 0.00/k  
Country: ITA  Total: 1.05/k  Gold: 39.06/k  
Country: ESP  Total: 0.99/k  Gold: 15.62/k  
Country: GBR  Total: 0.90/k  Gold: 7.81/k  
Country: SVK  Total: 0.80/k  Gold: 54.69/k  
Country: RUS  Total: 0.77/k  Gold: 7.81/k  
Country: USA  Total: 0.64/k  Gold: 28.65/k  
Country: DEN  Total: 0.63/k  Gold: 0.00/k  
Country: NOR  Total: 0.60/k  Gold: 31.25/k  
Country: CZE  Total: 0.60/k  Gold: 31.25/k  
Country: NZL  Total: 0.60/k  Gold: 52.08/k  
Country: YUG  Total: 0.49/k  Gold: 10.42/k  
Country: FRG  Total: 0.41/k  Gold: 10.42/k  
Country: CUB  Total: 0.41/k  Gold: 0.00/k  
Country: NED  Total: 0.27/k  Gold: 0.00/k  
Country: LAT  Total: 0.24/k  Gold: 0.00/k  
Country: BLR  Total: 0.21/k  Gold: 15.62/k  
Country: UKR  Total: 0.19/k  Gold: 7.81/k  
Country: EUN  Total: 0.14/k  Gold: 7.81/k  
Country: TCH  Total: 0.14/k  Gold: 7.81/k  
Country: MDA  Total: 0.12/k  Gold: 0.00/k  
Country: SLO  Total: 0.12/k  Gold: 0.00/k  
Country: SUI  Total: 0.12/k  Gold: 0.00/k  
Country: ISR  Total: 0.09/k  Gold: 0.00/k  
Country: AUT  Total: 0.09/k  Gold: 0.00/k  
Country: TOG  Total: 0.09/k  Gold: 0.00/k  
Country: CHN  Total: 0.03/k  Gold: 15.62/k  
Country: FIN  Total: 0.01/k  Gold: 7.81/k  
Country: AND  Total: 0.00/k  Gold: 0.00/k  
Country: ANG  Total: 0.00/k  Gold: 0.00/k  
Country: ANT  Total: 0.00/k  Gold: 0.00/k  
Country: ARG  Total: 0.00/k  Gold: 0.00/k  
Country: ARM  Total: 0.00/k  Gold: 0.00/k  
Country: AZE  Total: 0.00/k  Gold: 0.00/k  
Country: BEL  Total: 0.00/k  Gold: 0.00/k  
Country: BIH  Total: 0.00/k  Gold: 0.00/k  
Country: BOL  Total: 0.00/k  Gold: 0.00/k  
Country: BRA  Total: 0.00/k  Gold: 0.00/k  
Country: CHI  Total: 0.00/k  Gold: 0.00/k  
