Sports: Canoeing Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: GER  Total: 3.25/k  Gold: 203.12/k  
Country: HUN  Total: 2.71/k  Gold: 138.02/k  
Country: AUS  Total: 1.97/k  Gold: 23.44/k  
Country: FRA  Total: 1.96/k  Gold: 46.88/k  
Country: CAN  Total: 1.89/k  Gold: 28.65/k  
Country: POL  Total: 1.56/k  Gold: 0.00/k  
Country: SWE  Total: 1.55/k  Gold: 36.46/k  
Country: GBR  Total: 1.15/k  Gold: 23.44/k  
Country: ITA  Total: 1.06/k  Gold: 46.88/k  
Country: GDR  Total: 1.06/k  Gold: 31.25/k  
Country: BUL  Total: 1.04/k  Gold: 26.04/k  
Country: SVK  Total: 0.98/k  Gold: 54.69/k  
Country: RUS  Total: 0.96/k  Gold: 15.62/k  
Country: ESP  Total: 0.93/k  Gold: 15.62/k  
Country: ROU  Total: 0.84/k  Gold: 28.65/k  
Country: CZE  Total: 0.82/k  Gold: 31.25/k  
Country: USA  Total: 0.64/k  Gold: 28.65/k  
Country: DEN  Total: 0.63/k  Gold: 0.00/k  
Country: URS  Total: 0.63/k  Gold: 31.25/k  
Country: NOR  Total: 0.62/k  Gold: 39.06/k  
Country: NZL  Total: 0.61/k  Gold: 59.90/k  
Country: BLR  Total: 0.56/k  Gold: 15.62/k  
Country: YUG  Total: 0.49/k  Gold: 10.42/k  
Country: UKR  Total: 0.47/k  Gold: 15.62/k  
Country: FRG  Total: 0.41/k  Gold: 10.42/k  
Country: CUB  Total: 0.41/k  Gold: 0.00/k  
Country: NED  Total: 0.27/k  Gold: 0.00/k  
Country: LAT  Total: 0.24/k  Gold: 0.00/k  
Country: EUN  Total: 0.14/k  Gold: 7.81/k  
Country: TCH  Total: 0.14/k  Gold: 7.81/k  
Country: LTU  Total: 0.13/k  Gold: 0.00/k  
Country: POR  Total: 0.13/k  Gold: 0.00/k  
Country: MDA  Total: 0.12/k  Gold: 0.00/k  
Country: SLO  Total: 0.12/k  Gold: 0.00/k  
Country: SUI  Total: 0.12/k  Gold: 0.00/k  
Country: ISR  Total: 0.09/k  Gold: 0.00/k  
Country: RSA  Total: 0.09/k  Gold: 0.00/k  
Country: AUT  Total: 0.09/k  Gold: 0.00/k  
Country: TOG  Total: 0.09/k  Gold: 0.00/k  
Country: CHN  Total: 0.03/k  Gold: 15.62/k  
Country: FIN  Total: 0.01/k  Gold: 7.81/k  
Country: AND  Total: 0.00/k  Gold: 0.00/k  
Country: ANG  Total: 0.00/k  Gold: 0.00/k  
Country: ANT  Total: 0.00/k  Gold: 0.00/k  
Country: ARG  Total: 0.00/k  Gold: 0.00/k  
Country: ARM  Total: 0.00/k  Gold: 0.00/k  
Country: AZE  Total: 0.00/k  Gold: 0.00/k  
Country: BEL  Total: 0.00/k  Gold: 0.00/k  
Country: BIH  Total: 0.00/k  Gold: 0.00/k  
Country: BOL  Total: 0.00/k  Gold: 0.00/k  
Country: BRA  Total: 0.00/k  Gold: 0.00/k  
Country: CHI  Total: 0.00/k  Gold: 0.00/k  
Country: CIV  Total: 0.00/k  Gold: 0.00/k  
Country: COK  Total: 0.00/k  Gold: 0.00/k  
Country: CRC  Total: 0.00/k  Gold: 0.00/k  
Country: CRO  Total: 0.00/k  Gold: 0.00/k  
Country: ECU  Total: 0.00/k  Gold: 0.00/k  
Country: EGY  Total: 0.00/k  Gold: 0.00/k  
Country: EST  Total: 0.00/k  Gold: 0.00/k  
Country: GEO  Total: 0.00/k  Gold: 0.00/k  
Country: GRE  Total: 0.00/k  Gold: 0.00/k  
Country: GUA  Total: 0.00/k  Gold: 0.00/k  
Country: GUM  Total: 0.00/k  Gold: 0.00/k  
Country: HKG  Total: 0.00/k  Gold: 0.00/k  
Country: INA  Total: 0.00/k  Gold: 0.00/k  
Country: IOA  Total: 0.00/k  Gold: 0.00/k  
Country: IRI  Total: 0.00/k  Gold: 0.00/k  
Country: IRL  Total: 0.00/k  Gold: 0.00/k  
Country: JPN  Total: 0.00/k  Gold: 0.00/k  
Country: KAZ  Total: 0.00/k  Gold: 0.00/k  
Country: KGZ  Total: 0.00/k  Gold: 0.00/k  
Country: KOR  Total: 0.00/k  Gold: 0.00/k  
Country: LIB  Total: 0.00/k  Gold: 0.00/k  
Country: LUX  Total: 0.00/k  Gold: 0.00/k  
Country: MAR  Total: 0.00/k  Gold: 0.00/k  
Country: MAS  Total: 0.00/k  Gold: 0.00/k  
Country: MEX  Total: 0.00/k  Gold: 0.00/k  
Country: MKD  Total: 0.00/k  Gold: 0.00/k  
Country: MOZ  Total: 0.00/k  Gold: 0.00/k  
Country: MYA  Total: 0.00/k  Gold: 0.00/k  
Country: NGR  Total: 0.00/k  Gold: 0.00/k  
Country: PAN  Total: 0.00/k  Gold: 0.00/k  
Country: PER  Total: 0.00/k  Gold: 0.00/k  
Country: PLW  Total: 0.00/k  Gold: 0.00/k  
Country: SAA  Total: 0.00/k  Gold: 0.00/k  
Country: SAM  Total: 0.00/k  Gold: 0.00/k  
Country: SCG  Total: 0.00/k  Gold: 0.00/k  
Country: SEN  Total: 0.00/k  Gold: 0.00/k  
Country: SEY  Total: 0.00/k  Gold: 0.00/k  
Country: SGP  Total: 0.00/k  Gold: 0.00/k  
Country: SRB  Total: 0.00/k  Gold: 0.00/k  
Country: STP  Total: 0.00/k  Gold: 0.00/k  
Country: THA  Total: 0.00/k  Gold: 0.00/k  
Country: TUN  Total: 0.00/k  Gold: 0.00/k  
