Sports: Wrestling Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: USA  Total: 2.97/k  Gold: 115.62/k  
Country: RUS  Total: 2.81/k  Gold: 203.82/k  
Country: AZE  Total: 2.00/k  Gold: 28.65/k  
Country: JPN  Total: 1.81/k  Gold: 118.06/k  
Country: IRI  Total: 1.72/k  Gold: 48.78/k  
Country: GEO  Total: 1.54/k  Gold: 20.83/k  
Country: TUR  Total: 1.49/k  Gold: 40.45/k  
Country: KAZ  Total: 1.44/k  Gold: 6.25/k  
Country: UKR  Total: 1.43/k  Gold: 27.08/k  
Country: CUB  Total: 1.36/k  Gold: 75.17/k  
Country: BLR  Total: 1.24/k  Gold: 0.00/k  
Country: CHN  Total: 1.14/k  Gold: 13.89/k  
Country: KOR  Total: 1.08/k  Gold: 40.45/k  
Country: BUL  Total: 1.07/k  Gold: 14.06/k  
Country: EUN  Total: 0.89/k  Gold: 37.50/k  
Country: GER  Total: 0.80/k  Gold: 13.19/k  
Country: POL  Total: 0.69/k  Gold: 18.75/k  
Country: UZB  Total: 0.68/k  Gold: 27.78/k  
Country: ARM  Total: 0.68/k  Gold: 13.19/k  
Country: HUN  Total: 0.66/k  Gold: 26.39/k  
Country: SWE  Total: 0.64/k  Gold: 7.81/k  
Country: CAN  Total: 0.59/k  Gold: 21.70/k  
Country: IND  Total: 0.55/k  Gold: 0.00/k  
Country: KGZ  Total: 0.53/k  Gold: 0.00/k  
Country: FRA  Total: 0.40/k  Gold: 6.94/k  
Country: ROC  Total: 0.39/k  Gold: 27.78/k  
Country: PRK  Total: 0.31/k  Gold: 18.75/k  
Country: FIN  Total: 0.28/k  Gold: 0.00/k  
Country: ITA  Total: 0.27/k  Gold: 6.94/k  
Country: EGY  Total: 0.21/k  Gold: 6.94/k  
Country: MGL  Total: 0.16/k  Gold: 0.00/k  
Country: GRE  Total: 0.15/k  Gold: 0.00/k  
Country: COL  Total: 0.15/k  Gold: 0.00/k  
Country: LTU  Total: 0.15/k  Gold: 0.00/k  
Country: ROU  Total: 0.14/k  Gold: 0.00/k  
Country: NGR  Total: 0.13/k  Gold: 0.00/k  
Country: EST  Total: 0.11/k  Gold: 0.00/k  
Country: PUR  Total: 0.11/k  Gold: 0.00/k  
Country: TJK  Total: 0.11/k  Gold: 0.00/k  
Country: DEN  Total: 0.11/k  Gold: 0.00/k  
Country: SRB  Total: 0.10/k  Gold: 6.94/k  
Country: SMR  Total: 0.09/k  Gold: 0.00/k  
Country: NOR  Total: 0.08/k  Gold: 6.25/k  
Country: MKD  Total: 0.08/k  Gold: 0.00/k  
Country: ESP  Total: 0.07/k  Gold: 0.00/k  
Country: SVK  Total: 0.07/k  Gold: 0.00/k  
Country: TUN  Total: 0.07/k  Gold: 0.00/k  
Country: MDA  Total: 0.06/k  Gold: 0.00/k  
Country: AFG  Total: 0.00/k  Gold: 0.00/k  
Country: AIN  Total: 0.00/k  Gold: 0.00/k  
Country: ALB  Total: 0.00/k  Gold: 0.00/k  
Country: ALG  Total: 0.00/k  Gold: 0.00/k  
Country: ARG  Total: 0.00/k  Gold: 0.00/k  
Country: ASA  Total: 0.00/k  Gold: 0.00/k  
