Sports: Beach Volleyball Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: BRA  Total: 13.79/k  Gold: 250.00/k  
Country: USA  Total: 10.10/k  Gold: 437.50/k  
Country: GER  Total: 3.67/k  Gold: 125.00/k  
Country: AUS  Total: 2.80/k  Gold: 62.50/k  
Country: SUI  Total: 2.14/k  Gold: 0.00/k  
Country: CAN  Total: 1.85/k  Gold: 0.00/k  
Country: CHN  Total: 1.79/k  Gold: 0.00/k  
Country: NOR  Total: 1.58/k  Gold: 62.50/k  
Country: ITA  Total: 1.14/k  Gold: 0.00/k  
Country: ESP  Total: 1.10/k  Gold: 0.00/k  
Country: ROC  Total: 1.04/k  Gold: 0.00/k  
Country: SWE  Total: 0.89/k  Gold: 62.50/k  
Country: NED  Total: 0.76/k  Gold: 0.00/k  
Country: LAT  Total: 0.69/k  Gold: 0.00/k  
Country: QAT  Total: 0.69/k  Gold: 0.00/k  
Country: ANG  Total: 0.00/k  Gold: 0.00/k  
Country: ARG  Total: 0.00/k  Gold: 0.00/k  
Country: AUT  Total: 0.00/k  Gold: 0.00/k  
Country: BEL  Total: 0.00/k  Gold: 0.00/k  
Country: BUL  Total: 0.00/k  Gold: 0.00/k  
Country: CHI  Total: 0.00/k  Gold: 0.00/k  
Country: CRC  Total: 0.00/k  Gold: 0.00/k  
Country: CUB  Total: 0.00/k  Gold: 0.00/k  
Country: CZE  Total: 0.00/k  Gold: 0.00/k  
Country: EGY  Total: 0.00/k  Gold: 0.00/k  
Country: EST  Total: 0.00/k  Gold: 0.00/k  
Country: FRA  Total: 0.00/k  Gold: 0.00/k  
Country: GBR  Total: 0.00/k  Gold: 0.00/k  
Country: GEO  Total: 0.00/k  Gold: 0.00/k  
Country: GRE  Total: 0.00/k  Gold: 0.00/k  
Country: INA  Total: 0.00/k  Gold: 0.00/k  
Country: JPN  Total: 0.00/k  Gold: 0.00/k  
Country: KEN  Total: 0.00/k  Gold: 0.00/k  
Country: LTU  Total: 0.00/k  Gold: 0.00/k  
Country: MAR  Total: 0.00/k  Gold: 0.00/k  
Country: MEX  Total: 0.00/k  Gold: 0.00/k  
Country: MRI  Total: 0.00/k  Gold: 0.00/k  
Country: NZL  Total: 0.00/k  Gold: 0.00/k  
Country: PAR  Total: 0.00/k  Gold: 0.00/k  
Country: POL  Total: 0.00/k  Gold: 0.00/k  
Country: POR  Total: 0.00/k  Gold: 0.00/k  
Country: PUR  Total: 0.00/k  Gold: 0.00/k  
Country: RSA  Total: 0.00/k  Gold: 0.00/k  
Country: RUS  Total: 0.00/k  Gold: 0.00/k  
Country: TUN  Total: 0.00/k  Gold: 0.00/k  
Country: VEN  Total: 0.00/k  Gold: 0.00/k  
