Sports: Fencing Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: ITA  Total: 6.70/k  Gold: 197.92/k  
Country: FRA  Total: 5.81/k  Gold: 143.75/k  
Country: RUS  Total: 2.94/k  Gold: 162.50/k  
Country: USA  Total: 2.78/k  Gold: 56.25/k  
Country: HUN  Total: 2.61/k  Gold: 83.33/k  
Country: KOR  Total: 2.41/k  Gold: 81.25/k  
Country: CHN  Total: 2.04/k  Gold: 47.92/k  
Country: GER  Total: 2.00/k  Gold: 25.00/k  
Country: ROU  Total: 1.20/k  Gold: 37.50/k  
Country: ROC  Total: 1.19/k  Gold: 31.25/k  
Country: UKR  Total: 1.11/k  Gold: 35.42/k  
Country: JPN  Total: 1.09/k  Gold: 31.25/k  
Country: POL  Total: 1.03/k  Gold: 0.00/k  
Country: CUB  Total: 0.56/k  Gold: 0.00/k  
Country: SUI  Total: 0.53/k  Gold: 12.50/k  
Country: TUN  Total: 0.38/k  Gold: 0.00/k  
Country: EGY  Total: 0.38/k  Gold: 0.00/k  
Country: CZE  Total: 0.31/k  Gold: 0.00/k  
Country: NOR  Total: 0.23/k  Gold: 0.00/k  
Country: EST  Total: 0.19/k  Gold: 10.42/k  
Country: ESP  Total: 0.15/k  Gold: 0.00/k  
Country: CAN  Total: 0.15/k  Gold: 0.00/k  
Country: HKG  Total: 0.10/k  Gold: 31.25/k  
Country: VEN  Total: 0.04/k  Gold: 12.50/k  
Country: AHO  Total: 0.00/k  Gold: 0.00/k  
Country: ALG  Total: 0.00/k  Gold: 0.00/k  
Country: ARG  Total: 0.00/k  Gold: 0.00/k  
Country: ARU  Total: 0.00/k  Gold: 0.00/k  
Country: AUS  Total: 0.00/k  Gold: 0.00/k  
Country: AUT  Total: 0.00/k  Gold: 0.00/k  
Country: AZE  Total: 0.00/k  Gold: 0.00/k  
Country: BEL  Total: 0.00/k  Gold: 0.00/k  
Country: BEN  Total: 0.00/k  Gold: 0.00/k  
Country: BLR  Total: 0.00/k  Gold: 0.00/k  
Country: BOH  Total: 0.00/k  Gold: 0.00/k  
Country: BOL  Total: 0.00/k  Gold: 0.00/k  
Country: BRA  Total: 0.00/k  Gold: 0.00/k  
Country: BRN  Total: 0.00/k  Gold: 0.00/k  
Country: BUL  Total: 0.00/k  Gold: 0.00/k  
Country: BUR  Total: 0.00/k  Gold: 0.00/k  
Country: CGO  Total: 0.00/k  Gold: 0.00/k  
Country: CHI  Total: 0.00/k  Gold: 0.00/k  
Country: CIV  Total: 0.00/k  Gold: 0.00/k  
Country: COL  Total: 0.00/k  Gold: 0.00/k  
Country: CPV  Total: 0.00/k  Gold: 0.00/k  
Country: CRC  Total: 0.00/k  Gold: 0.00/k  
Country: CRO  Total: 0.00/k  Gold: 0.00/k  
Country: CYP  Total: 0.00/k  Gold: 0.00/k  
Country: DEN  Total: 0.00/k  Gold: 0.00/k  
Country: EUN  Total: 0.00/k  Gold: 0.00/k  
Country: FIN  Total: 0.00/k  Gold: 0.00/k  
Country: FRG  Total: 0.00/k  Gold: 0.00/k  
Country: GBR  Total: 0.00/k  Gold: 0.00/k  
Country: GDR  Total: 0.00/k  Gold: 0.00/k  
Country: GEO  Total: 0.00/k  Gold: 0.00/k  
