Sports: Tennis Years: 8 
goldratio:0.500000 silverratio:0.300000 bronzeratio:0.200000
Country: USA  Total: 3.11/k  Gold: 287.50/k  
Country: ESP  Total: 2.62/k  Gold: 56.25/k  
Country: CZE  Total: 1.87/k  Gold: 50.00/k  
Country: RUS  Total: 1.72/k  Gold: 87.50/k  
Country: GER  Total: 1.23/k  Gold: 25.00/k  
Country: SUI  Total: 1.13/k  Gold: 56.25/k  
Country: FRA  Total: 1.04/k  Gold: 0.00/k  
Country: AUS  Total: 0.96/k  Gold: 56.25/k  
Country: CRO  Total: 0.95/k  Gold: 25.00/k  
Country: CHI  Total: 0.85/k  Gold: 62.50/k  
Country: CHN  Total: 0.79/k  Gold: 56.25/k  
Country: GBR  Total: 0.78/k  Gold: 50.00/k  
Country: ARG  Total: 0.71/k  Gold: 0.00/k  
Country: ROC  Total: 0.71/k  Gold: 25.00/k  
Country: BEL  Total: 0.34/k  Gold: 31.25/k  
Country: SWE  Total: 0.34/k  Gold: 0.00/k  
Country: CAN  Total: 0.33/k  Gold: 31.25/k  
Country: SRB  Total: 0.33/k  Gold: 25.00/k  
Country: ITA  Total: 0.31/k  Gold: 25.00/k  
Country: AIN  Total: 0.31/k  Gold: 0.00/k  
Country: NED  Total: 0.30/k  Gold: 0.00/k  
Country: BLR  Total: 0.30/k  Gold: 25.00/k  
Country: ROU  Total: 0.29/k  Gold: 0.00/k  
Country: POL  Total: 0.21/k  Gold: 0.00/k  
Country: BRA  Total: 0.20/k  Gold: 0.00/k  
Country: NZL  Total: 0.20/k  Gold: 0.00/k  
Country: UKR  Total: 0.20/k  Gold: 0.00/k  
Country: IND  Total: 0.19/k  Gold: 0.00/k  
Country: JPN  Total: 0.19/k  Gold: 0.00/k  
Country: PUR  Total: 0.10/k  Gold: 25.00/k  
Country: ALG  Total: 0.00/k  Gold: 0.00/k  
Country: ANZ  Total: 0.00/k  Gold: 0.00/k  
Country: ARM  Total: 0.00/k  Gold: 0.00/k  
Country: AUT  Total: 0.00/k  Gold: 0.00/k  
Country: BAH  Total: 0.00/k  Gold: 0.00/k  
Country: BAR  Total: 0.00/k  Gold: 0.00/k  
Country: BEN  Total: 0.00/k  Gold: 0.00/k  
Country: BER  Total: 0.00/k  Gold: 0.00/k  
Country: BIH  Total: 0.00/k  Gold: 0.00/k  
Country: BOH  Total: 0.00/k  Gold: 0.00/k  
Country: BOL  Total: 0.00/k  Gold: 0.00/k  
Country: BUL  Total: 0.00/k  Gold: 0.00/k  
Country: CIV  Total: 0.00/k  Gold: 0.00/k  
Country: COL  Total: 0.00/k  Gold: 0.00/k  
Country: CRC  Total: 0.00/k  Gold: 0.00/k  
Country: CYP  Total: 0.00/k  Gold: 0.00/k  
Country: DEN  Total: 0.00/k  Gold: 0.00/k  
Country: DOM  Total: 0.00/k  Gold: 0.00/k  
Country: ECU  Total: 0.00/k  Gold: 0.00/k  
Country: EGY  Total: 0.00/k  Gold: 0.00/k  
Country: ESA  Total: 0.00/k  Gold: 0.00/k  
Country: EST  Total: 0.00/k  Gold: 0.00/k  
Country: EUN  Total: 0.00/k  Gold: 0.00/k  
Country: FIN  Total: 0.00/k  Gold: 0.00/k  
Country: FRG  Total: 0.00/k  Gold: 0.00/k  
Country: GEO  Total: 0.00/k  Gold: 0.00/k  
Country: GRE  Total: 0.00/k  Gold: 0.00/k  
Country: HAI  Total: 0.00/k  Gold: 0.00/k  
Country: HUN  Total: 0.00/k  Gold: 0.00/k  
Country: INA  Total: 0.00/k  Gold: 0.00/k  
Country: IOA  Total: 0.00/k  Gold: 0.00/k  
Country: IRL  Total: 0.00/k  Gold: 0.00/k  
Country: ISR  Total: 0.00/k  Gold: 0.00/k  
Country: KAZ  Total: 0.00/k  Gold: 0.00/k  
Country: KOR  Total: 0.00/k  Gold: 0.00/k  
Country: LAT  Total: 0.00/k  Gold: 0.00/k  
Country: LBN  Total: 0.00/k  Gold: 0.00/k  
Country: LIE  Total: 0.00/k  Gold: 0.00/k  
