sport,country,total,gold
"3x3 Basketball",AUS,0,0
"3x3 Basketball",AZE,0,0
"3x3 Basketball",BEL,0,0
"3x3 Basketball",CAN,0,0
"3x3 Basketball",CHN,0,0
"3x3 Basketball",ESP,0,0
"3x3 Basketball",FRA,0,0
"3x3 Basketball",GER,0,0
"3x3 Basketball",ITA,0,0
"3x3 Basketball",JPN,0,0
"3x3 Basketball",LAT,0,0
"3x3 Basketball",LTU,0,0
"3x3 Basketball",MGL,0,0
"3x3 Basketball",NED,0,0
"3x3 Basketball",POL,0,0
"3x3 Basketball",ROC,0,0
"3x3 Basketball",ROU,0,0
"3x3 Basketball",SRB,0,0
"3x3 Basketball",USA,0,0
"Aeronautics",SUI,0,0
"Alpinism",GER,0,0
"Alpinism",SUI,0,0
"Archery",USA,1,406.25
"Archery",KOR,0.958637408812453,375
"Archery",URS,0.807174386875565,62.5
"Archery",FIN,0.371817274359591,62.5
"Archery",ITA,0.315781759153863,0
"Archery",CHN,0.245159086373544,0
"Archery",JPN,0.234391299297398,0
"Archery",SWE,0.20690096172548,0
"Archery",POL,0.183911965978204,0
"Archery",GBR,0.125419859603241,0
"Archery",GER,0.113945457182148,0
"Archery",UKR,0.113445696405034,0
"Archery",EUN,0.084449372132849,0
"Archery",INA,0.0614557312055881,0
"Archery",NED,0.0449784699403218,0
"Archery",AUS,0.0281115437127011,31.25
"Archery",ESP,0.0263904287915153,31.25
"Archery",FRA,0.0263904287915153,31.25
"Archery",ARG,0,0
"Archery",ASA,0,0
"Archery",AUT,0,0
"Archery",AZE,0,0
"Archery",BAN,0,0
"Archery",BEL,0,0
"Archery",BHU,0,0
"Archery",BLR,0,0
"Archery",BRA,0,0
"Archery",BUL,0,0
"Archery",CAF,0,0
"Archery",CAN,0,0
"Archery",CHA,0,0
"Archery",CHI,0,0
"Archery",CIV,0,0
"Archery",COL,0,0
"Archery",CRC,0,0
"Archery",CUB,0,0
"Archery",CYP,0,0
"Archery",CZE,0,0
"Archery",DEN,0,0
"Archery",DOM,0,0
"Archery",ECU,0,0
"Archery",EGY,0,0
"Archery",ESA,0,0
"Archery",EST,0,0
"Archery",FIJ,0,0
"Archery",FRG,0,0
"Archery",GEO,0,0
"Archery",GRE,0,0
"Archery",GUI,0,0
"Archery",GUM,0,0
"Archery",HKG,0,0
"Archery",HUN,0,0
"Archery",IND,0,0
"Archery",IRI,0,0
"Archery",IRL,0,0
"Archery",IRQ,0,0
"Archery",ISR,0,0
"Archery",ISV,0,0
"Archery",JOR,0,0
"Archery",KAZ,0,0
"Archery",KEN,0,0
"Archery",KSA,0,0
